datetime,open,high,low,close,volume
2026-07-03 08:00:59,1.578,1.58,1.577,1.58,11621.63
2026-07-03 08:01:59,1.579,1.58,1.579,1.579,314.63
2026-07-03 08:02:59,1.579,1.58,1.579,1.58,6427.33
2026-07-03 08:03:59,1.58,1.58,1.576,1.576,4450.53
2026-07-03 08:04:59,1.577,1.579,1.577,1.577,4185.04
2026-07-03 08:05:59,1.577,1.578,1.576,1.576,1680.54
2026-07-03 08:06:59,1.576,1.577,1.576,1.576,1457.06
2026-07-03 08:07:59,1.577,1.577,1.576,1.576,132.0
2026-07-03 08:08:59,1.576,1.577,1.576,1.576,381.44
2026-07-03 08:09:59,1.577,1.577,1.576,1.576,124.41
2026-07-03 08:10:59,1.576,1.577,1.575,1.575,1646.08
2026-07-03 08:11:59,1.575,1.579,1.575,1.579,22230.76
2026-07-03 08:12:59,1.578,1.579,1.578,1.578,684.06
2026-07-03 08:13:59,1.578,1.579,1.578,1.579,136.17
2026-07-03 08:14:59,1.578,1.578,1.577,1.577,2008.01
2026-07-03 08:15:59,1.577,1.578,1.576,1.577,5190.35
2026-07-03 08:16:59,1.577,1.578,1.577,1.578,3405.79
2026-07-03 08:17:59,1.578,1.578,1.577,1.577,520.11
2026-07-03 08:18:59,1.578,1.578,1.577,1.577,1419.15
2026-07-03 08:19:59,1.578,1.579,1.577,1.578,2011.74
2026-07-03 08:20:59,1.578,1.581,1.578,1.58,3410.69
2026-07-03 08:21:59,1.581,1.581,1.58,1.581,2584.98
2026-07-03 08:22:59,1.58,1.581,1.58,1.581,79.3
2026-07-03 08:23:59,1.581,1.581,1.58,1.581,1142.55
2026-07-03 08:24:59,1.582,1.583,1.581,1.582,1074.31
2026-07-03 08:25:59,1.581,1.583,1.581,1.582,1674.23
2026-07-03 08:26:59,1.583,1.583,1.582,1.582,769.69
2026-07-03 08:27:59,1.583,1.585,1.582,1.584,5748.42
2026-07-03 08:28:59,1.583,1.585,1.583,1.585,1651.26
2026-07-03 08:29:59,1.585,1.585,1.585,1.585,148.68
2026-07-03 08:30:59,1.585,1.585,1.581,1.582,10126.76
