datetime,open,high,low,close,volume
2026-07-07 10:23:59,238.87,238.9,238.81,238.89,49.86
2026-07-07 10:24:59,238.89,238.91,238.86,238.86,39.245
2026-07-07 10:25:59,238.86,239.07,238.86,239.06,40.388
2026-07-07 10:26:59,239.05,239.06,239.01,239.01,30.126
2026-07-07 10:27:59,239.02,239.02,238.89,238.9,93.519
2026-07-07 10:28:59,238.91,238.95,238.84,238.92,64.697
2026-07-07 10:29:59,238.91,239.2,238.88,239.06,527.467
2026-07-07 10:30:59,239.05,239.12,238.74,238.93,592.272
2026-07-07 10:31:59,238.93,239.1,238.82,238.88,186.442
2026-07-07 10:32:59,238.88,239.44,238.88,239.39,162.324
2026-07-07 10:33:59,239.38,239.6,239.32,239.54,161.131
2026-07-07 10:34:59,239.54,239.54,239.38,239.44,95.244
2026-07-07 10:35:59,239.45,239.53,239.27,239.27,70.077
2026-07-07 10:36:59,239.28,239.39,239.27,239.39,82.311
2026-07-07 10:37:59,239.38,239.38,239.26,239.26,94.221
2026-07-07 10:38:59,239.25,239.56,239.02,239.33,416.749
2026-07-07 10:39:59,239.32,239.35,239.24,239.25,68.948
2026-07-07 10:40:59,239.24,239.24,239.02,239.11,117.211
2026-07-07 10:41:59,239.11,239.18,239.1,239.13,51.601
2026-07-07 10:42:59,239.13,239.17,239.11,239.11,37.498
2026-07-07 10:43:59,239.11,239.15,239.09,239.09,41.797
2026-07-07 10:44:59,239.1,239.11,238.93,239.04,86.235
2026-07-07 10:45:59,239.05,239.05,238.54,238.57,220.322
2026-07-07 10:46:59,238.57,238.72,238.57,238.65,44.314
2026-07-07 10:47:59,238.64,238.72,238.64,238.71,46.121
2026-07-07 10:48:59,238.71,238.78,238.66,238.77,80.967
2026-07-07 10:49:59,238.78,238.78,238.6,238.61,51.741
2026-07-07 10:50:59,238.6,238.63,238.54,238.59,44.967
2026-07-07 10:51:59,238.6,238.66,238.49,238.5,736.602
2026-07-07 10:52:59,238.49,238.49,238.42,238.43,58.686
2026-07-07 10:53:59,238.44,238.46,238.32,238.39,76.667
2026-07-07 10:54:59,238.38,238.48,238.37,238.48,61.728
2026-07-07 10:55:59,238.47,238.47,238.33,238.33,38.756
2026-07-07 10:56:59,238.34,238.36,238.3,238.31,59.017
2026-07-07 10:57:59,238.31,238.47,238.31,238.47,40.636
2026-07-07 10:58:59,238.47,238.47,238.44,238.45,35.184
2026-07-07 10:59:59,238.45,238.5,238.44,238.5,14.6
2026-07-07 11:00:59,238.5,238.5,237.85,237.97,447.113
2026-07-07 11:01:59,237.97,238.06,237.92,238.02,152.762
2026-07-07 11:02:59,238.03,238.03,237.78,238.0,936.823
2026-07-07 11:03:59,238.0,238.08,238.0,238.07,98.69
2026-07-07 11:04:59,238.08,238.22,237.97,238.22,94.048
2026-07-07 11:05:59,238.22,238.27,238.15,238.27,84.509
2026-07-07 11:06:59,238.28,238.3,238.2,238.2,75.459
2026-07-07 11:07:59,238.21,238.31,238.21,238.31,32.737
2026-07-07 11:08:59,238.3,238.36,238.29,238.3,110.757
2026-07-07 11:09:59,238.29,238.29,238.15,238.17,69.293
2026-07-07 11:10:59,238.17,238.17,237.72,237.75,284.453
2026-07-07 11:11:59,237.75,237.88,237.72,237.88,226.104
2026-07-07 11:12:59,237.87,238.33,237.78,238.27,446.964
2026-07-07 11:13:59,238.26,238.26,238.1,238.11,60.327
2026-07-07 11:14:59,238.1,238.16,238.1,238.15,44.504
2026-07-07 11:15:59,238.15,238.3,238.11,238.3,93.497
2026-07-07 11:16:59,238.31,238.38,238.3,238.37,51.86
2026-07-07 11:17:59,238.37,238.37,238.27,238.28,72.305
2026-07-07 11:18:59,238.28,238.35,238.26,238.29,68.339
2026-07-07 11:19:59,238.3,238.32,238.23,238.31,57.95
2026-07-07 11:20:59,238.31,238.43,238.13,238.14,175.063
2026-07-07 11:21:59,238.13,238.23,238.13,238.22,52.896
