datetime,open,high,low,close,volume
2026-07-03 08:00:59,1.3708,1.3711,1.3705,1.3711,5500.0
2026-07-03 08:01:59,1.3712,1.3712,1.3706,1.3706,1930.0
2026-07-03 08:02:59,1.3711,1.3721,1.3711,1.3715,4320.0
2026-07-03 08:03:59,1.3714,1.3714,1.3704,1.3704,915.0
2026-07-03 08:04:59,1.3705,1.3714,1.3701,1.3709,2170.0
2026-07-03 08:05:59,1.3709,1.371,1.3699,1.3705,2978.0
2026-07-03 08:06:59,1.3704,1.3711,1.3704,1.3704,1490.0
2026-07-03 08:07:59,1.3704,1.3709,1.3691,1.3691,2294.0
2026-07-03 08:08:59,1.3692,1.3695,1.3685,1.3687,2729.0
2026-07-03 08:09:59,1.3689,1.3698,1.3688,1.3695,8581.0
2026-07-03 08:10:59,1.3692,1.3697,1.3692,1.3695,690.0
2026-07-03 08:11:59,1.3694,1.3695,1.3687,1.369,2649.0
2026-07-03 08:12:59,1.369,1.3696,1.3689,1.3696,350.0
2026-07-03 08:13:59,1.3695,1.3696,1.3691,1.3692,781.0
2026-07-03 08:14:59,1.3692,1.3696,1.3691,1.3691,623.0
2026-07-03 08:15:59,1.3691,1.3691,1.3682,1.3682,1487.0
2026-07-03 08:16:59,1.3683,1.3698,1.3683,1.3697,1218.0
2026-07-03 08:17:59,1.3697,1.3697,1.3691,1.3691,1871.0
2026-07-03 08:18:59,1.369,1.369,1.3682,1.3688,950.0
2026-07-03 08:19:59,1.3688,1.3693,1.3688,1.3692,628.0
2026-07-03 08:20:59,1.3691,1.3691,1.368,1.3687,2220.0
2026-07-03 08:21:59,1.3685,1.369,1.3685,1.3687,250.0
2026-07-03 08:22:59,1.3688,1.3691,1.3681,1.3683,2771.0
2026-07-03 08:23:59,1.3683,1.3685,1.3677,1.3685,1093.0
2026-07-03 08:24:59,1.3685,1.3689,1.3685,1.3689,763.0
2026-07-03 08:25:59,1.369,1.3692,1.3688,1.3689,7393.0
2026-07-03 08:26:59,1.3689,1.3696,1.3687,1.3693,3877.0
2026-07-03 08:27:59,1.3694,1.37,1.3688,1.3688,996.0
2026-07-03 08:28:59,1.3689,1.3691,1.3685,1.3689,888.0
2026-07-03 08:29:59,1.3689,1.369,1.3686,1.3686,923.0
2026-07-03 08:30:59,1.3688,1.3688,1.3675,1.3675,527.0
2026-07-03 08:31:59,1.3674,1.3699,1.3671,1.3694,6225.0
2026-07-03 08:32:59,1.3694,1.3696,1.3691,1.3695,184.0
2026-07-03 08:33:59,1.3694,1.3694,1.3689,1.3692,1042.0
2026-07-03 08:34:59,1.3692,1.3697,1.3692,1.3694,1048.0
2026-07-03 08:35:59,1.3693,1.3701,1.3691,1.3698,886.0
2026-07-03 08:36:59,1.37,1.37,1.3692,1.3692,550.0
2026-07-03 08:37:59,1.3693,1.3698,1.3682,1.3685,863.0
2026-07-03 08:38:59,1.3687,1.3691,1.3683,1.3687,1835.0
2026-07-03 08:39:59,1.3687,1.369,1.3687,1.3688,517.0
2026-07-03 08:40:59,1.3689,1.369,1.3688,1.3688,732.0
2026-07-03 08:41:59,1.3688,1.3701,1.3688,1.3699,1334.0
2026-07-03 08:42:59,1.37,1.3706,1.37,1.3706,201.0
2026-07-03 08:43:59,1.3706,1.3742,1.3706,1.3736,12600.0
2026-07-03 08:44:59,1.3735,1.3736,1.3729,1.3735,1094.0
2026-07-03 08:45:59,1.3734,1.3734,1.3727,1.3728,855.0
2026-07-03 08:46:59,1.373,1.3734,1.3729,1.3734,1023.0
2026-07-03 08:47:59,1.3729,1.3729,1.3724,1.3729,391.0
2026-07-03 08:48:59,1.3729,1.373,1.3726,1.3729,539.0
2026-07-03 08:49:59,1.3729,1.373,1.3715,1.3715,1126.0
2026-07-03 08:50:59,1.3714,1.3714,1.3708,1.3708,424.0
2026-07-03 08:51:59,1.3707,1.3712,1.3703,1.3705,3617.0
2026-07-03 08:52:59,1.3706,1.3713,1.3696,1.3705,12799.0
2026-07-03 08:53:59,1.3706,1.3711,1.3699,1.3707,3489.0
2026-07-03 08:54:59,1.3703,1.3707,1.3679,1.3684,3450.0
2026-07-03 08:55:59,1.3684,1.3694,1.3684,1.3694,1419.0
2026-07-03 08:56:59,1.3694,1.3699,1.3693,1.3698,1725.0
2026-07-03 08:57:59,1.3698,1.3698,1.369,1.3696,182.0
2026-07-03 08:58:59,1.3695,1.3695,1.3686,1.3686,1256.0
2026-07-03 08:59:59,1.3692,1.3697,1.3691,1.3691,1495.0
2026-07-03 09:00:59,1.369,1.3691,1.368,1.3682,2980.0
2026-07-03 09:01:59,1.3682,1.3703,1.3674,1.3703,3313.0
2026-07-03 09:02:59,1.3701,1.371,1.3701,1.371,3600.0
2026-07-03 09:03:59,1.3709,1.3709,1.37,1.37,671.0
2026-07-03 09:04:59,1.3702,1.3712,1.3702,1.3704,934.0
2026-07-03 09:05:59,1.3705,1.372,1.3704,1.372,500.0
2026-07-03 09:06:59,1.3719,1.3723,1.3714,1.3722,351.0
2026-07-03 09:07:59,1.3723,1.3728,1.3721,1.3728,621.0
2026-07-03 09:08:59,1.3723,1.3729,1.3721,1.3726,2424.0
2026-07-03 09:09:59,1.3727,1.3728,1.3722,1.3722,675.0
2026-07-03 09:10:59,1.3721,1.3721,1.3718,1.3719,186.0
2026-07-03 09:11:59,1.3719,1.3724,1.3719,1.3724,439.0
2026-07-03 09:12:59,1.3724,1.3724,1.3724,1.3724,8.0
2026-07-03 09:13:59,1.3724,1.3735,1.3724,1.3733,2832.0
2026-07-03 09:14:59,1.3732,1.3735,1.3732,1.3733,826.0
2026-07-03 09:15:59,1.3733,1.374,1.3732,1.374,1836.0
2026-07-03 09:16:59,1.3738,1.374,1.373,1.3732,844.0
2026-07-03 09:17:59,1.3732,1.3732,1.3722,1.3724,1125.0
2026-07-03 09:18:59,1.3725,1.3728,1.3722,1.3723,2301.0
2026-07-03 09:19:59,1.3727,1.373,1.3723,1.3723,144.0
2026-07-03 09:20:59,1.3725,1.3729,1.3725,1.3729,1115.0
2026-07-03 09:21:59,1.3729,1.373,1.3728,1.373,1024.0
2026-07-03 09:22:59,1.373,1.3731,1.3729,1.373,99.0
2026-07-03 09:23:59,1.373,1.3731,1.373,1.3731,158.0
2026-07-03 09:24:59,1.373,1.373,1.373,1.373,38.0
2026-07-03 09:25:59,1.3729,1.3729,1.3709,1.3713,3014.0
2026-07-03 09:26:59,1.3714,1.3714,1.371,1.3711,464.0
