datetime,open,high,low,close,volume
2026-07-07 10:23:59,17.51,17.51,17.49,17.49,77.722
2026-07-07 10:24:59,17.5,17.51,17.5,17.51,16.64
2026-07-07 10:25:59,17.5,17.5,17.5,17.5,10.072
2026-07-07 10:26:59,17.5,17.51,17.47,17.51,586.022
2026-07-07 10:27:59,17.51,17.51,17.5,17.5,61.297
2026-07-07 10:28:59,17.51,17.6,17.51,17.55,2593.929
2026-07-07 10:29:59,17.55,17.56,17.54,17.54,114.86
2026-07-07 10:30:59,17.55,17.56,17.52,17.55,493.956
2026-07-07 10:31:59,17.55,17.55,17.52,17.52,188.07
2026-07-07 10:32:59,17.52,17.52,17.51,17.51,18.465
2026-07-07 10:33:59,17.52,17.53,17.46,17.53,2668.139
2026-07-07 10:34:59,17.54,17.55,17.52,17.53,535.676
2026-07-07 10:35:59,17.53,17.55,17.53,17.53,236.526
2026-07-07 10:36:59,17.54,17.55,17.53,17.55,98.246
2026-07-07 10:37:59,17.54,17.55,17.54,17.55,53.19
2026-07-07 10:38:59,17.55,17.55,17.55,17.55,45.232
2026-07-07 10:39:59,17.55,17.56,17.54,17.54,95.778
2026-07-07 10:40:59,17.54,17.54,17.52,17.53,279.436
2026-07-07 10:41:59,17.53,17.53,17.52,17.52,18.197
2026-07-07 10:42:59,17.52,17.53,17.51,17.51,51.02
2026-07-07 10:43:59,17.51,17.52,17.51,17.52,1.696
2026-07-07 10:44:59,17.51,17.51,17.5,17.5,52.482
2026-07-07 10:45:59,17.5,17.51,17.46,17.48,334.891
2026-07-07 10:46:59,17.47,17.49,17.47,17.49,58.578
2026-07-07 10:47:59,17.47,17.47,17.46,17.46,81.027
2026-07-07 10:48:59,17.47,17.47,17.46,17.46,50.829
2026-07-07 10:49:59,17.46,17.46,17.45,17.45,9.654
2026-07-07 10:50:59,17.45,17.46,17.44,17.45,84.538
2026-07-07 10:51:59,17.45,17.46,17.44,17.45,102.25
2026-07-07 10:52:59,17.45,17.46,17.45,17.45,84.097
2026-07-07 10:53:59,17.44,17.45,17.44,17.44,2.028
2026-07-07 10:54:59,17.43,17.43,17.42,17.42,122.324
2026-07-07 10:55:59,17.42,17.42,17.42,17.42,128.09
2026-07-07 10:56:59,17.43,17.43,17.43,17.43,6.645
2026-07-07 10:57:59,17.43,17.45,17.43,17.45,70.84
2026-07-07 10:58:59,17.44,17.46,17.44,17.46,8.993
2026-07-07 10:59:59,17.45,17.47,17.45,17.47,32.585
2026-07-07 11:00:59,17.46,17.46,17.42,17.42,155.533
2026-07-07 11:01:59,17.42,17.44,17.42,17.44,29.07
2026-07-07 11:02:59,17.43,17.44,17.4,17.42,391.347
2026-07-07 11:03:59,17.41,17.42,17.41,17.42,55.933
2026-07-07 11:04:59,17.42,17.44,17.4,17.43,99.744
2026-07-07 11:05:59,17.43,17.45,17.43,17.44,200.939
2026-07-07 11:06:59,17.43,17.44,17.43,17.43,36.372
2026-07-07 11:07:59,17.43,17.44,17.43,17.44,15.779
2026-07-07 11:08:59,17.44,17.44,17.43,17.44,8.16
2026-07-07 11:09:59,17.43,17.43,17.42,17.42,46.719
2026-07-07 11:10:59,17.42,17.42,17.39,17.39,99.972
2026-07-07 11:11:59,17.39,17.41,17.39,17.39,63.182
2026-07-07 11:12:59,17.39,17.4,17.39,17.4,46.605
2026-07-07 11:13:59,17.4,17.41,17.4,17.41,149.08
2026-07-07 11:14:59,17.39,17.39,17.39,17.39,17.25
2026-07-07 11:15:59,17.39,17.4,17.38,17.39,40.005
2026-07-07 11:16:59,17.39,17.41,17.39,17.41,48.317
2026-07-07 11:17:59,17.4,17.41,17.39,17.41,175.818
2026-07-07 11:18:59,17.41,17.41,17.4,17.41,10.077
2026-07-07 11:19:59,17.41,17.43,17.41,17.43,58.669
2026-07-07 11:20:59,17.42,17.42,17.42,17.42,40.413
2026-07-07 11:21:59,17.42,17.42,17.41,17.42,27.805
2026-07-07 11:22:59,17.42,17.43,17.42,17.43,35.893
2026-07-07 11:23:59,17.43,17.43,17.43,17.43,1.95
2026-07-07 11:24:59,17.44,17.46,17.43,17.46,47.347
2026-07-07 11:25:59,17.44,17.45,17.44,17.45,0.751
2026-07-07 11:26:59,17.45,17.45,17.42,17.42,28.099
2026-07-07 11:27:59,17.41,17.41,17.41,17.41,0.169
2026-07-07 11:28:59,17.41,17.42,17.41,17.42,23.395
2026-07-07 11:29:59,17.41,17.43,17.4,17.43,140.348
2026-07-07 11:30:59,17.42,17.42,17.41,17.42,33.726
2026-07-07 11:31:59,17.42,17.45,17.42,17.45,48.298
2026-07-07 11:32:59,17.44,17.44,17.41,17.41,34.294
2026-07-07 11:33:59,17.41,17.41,17.39,17.41,775.5
2026-07-07 11:34:59,17.41,17.41,17.4,17.41,29.132
2026-07-07 11:35:59,17.4,17.42,17.4,17.42,23.483
2026-07-07 11:36:59,17.42,17.43,17.42,17.43,82.63
2026-07-07 11:37:59,17.42,17.44,17.42,17.43,164.842
2026-07-07 11:38:59,17.43,17.44,17.43,17.44,14.931
2026-07-07 11:39:59,17.44,17.44,17.44,17.44,32.209
2026-07-07 11:40:59,17.43,17.43,17.42,17.42,51.031
2026-07-07 11:41:59,17.43,17.44,17.43,17.44,55.433
2026-07-07 11:42:59,17.43,17.44,17.43,17.44,6.295
2026-07-07 11:43:59,17.44,17.45,17.44,17.45,21.518
2026-07-07 11:44:59,17.45,17.46,17.45,17.46,18.42
2026-07-07 11:45:59,17.46,17.48,17.46,17.46,64.197
2026-07-07 11:46:59,17.46,17.5,17.45,17.48,90.339
2026-07-07 11:47:59,17.49,17.51,17.48,17.51,783.276
2026-07-07 11:48:59,17.49,17.5,17.49,17.5,14.072
2026-07-07 11:49:59,17.48,17.51,17.48,17.49,163.786
2026-07-07 11:50:59,17.48,17.49,17.48,17.49,2.145
2026-07-07 11:51:59,17.48,17.5,17.48,17.5,61.954
2026-07-07 11:52:59,17.5,17.51,17.49,17.49,88.506
2026-07-07 11:53:59,17.49,17.5,17.49,17.49,10.613
2026-07-07 11:54:59,17.49,17.49,17.48,17.49,13.058
2026-07-07 11:55:59,17.49,17.5,17.49,17.5,0.822
2026-07-07 11:56:59,17.5,17.51,17.5,17.5,209.866
2026-07-07 11:57:59,17.5,17.51,17.5,17.51,10.352
2026-07-07 11:58:59,17.51,17.51,17.49,17.5,116.26
2026-07-07 11:59:59,17.5,17.53,17.5,17.53,92.647
2026-07-07 12:00:59,17.52,17.53,17.52,17.52,87.119
2026-07-07 12:01:59,17.51,17.52,17.5,17.5,206.96
2026-07-07 12:02:59,17.5,17.52,17.5,17.51,84.654
2026-07-07 12:03:59,17.51,17.51,17.51,17.51,50.249
2026-07-07 12:04:59,17.52,17.52,17.51,17.52,49.599
2026-07-07 12:05:59,17.52,17.53,17.52,17.52,30.981
2026-07-07 12:06:59,17.52,17.56,17.52,17.56,217.464
2026-07-07 12:07:59,17.57,17.57,17.52,17.55,530.465
2026-07-07 12:08:59,17.54,17.56,17.54,17.55,17.348
2026-07-07 12:09:59,17.55,17.55,17.54,17.54,22.721
2026-07-07 12:10:59,17.54,17.54,17.52,17.52,314.182
2026-07-07 12:11:59,17.53,17.54,17.53,17.54,52.084
2026-07-07 12:12:59,17.53,17.55,17.52,17.52,178.514
2026-07-07 12:13:59,17.51,17.53,17.51,17.53,113.741
2026-07-07 12:14:59,17.53,17.55,17.53,17.55,191.797
2026-07-07 12:15:59,17.54,17.54,17.52,17.52,105.713
2026-07-07 12:16:59,17.52,17.52,17.5,17.51,113.891
2026-07-07 12:17:59,17.51,17.51,17.51,17.51,21.123
2026-07-07 12:18:59,17.5,17.5,17.5,17.5,0.063
2026-07-07 12:19:59,17.51,17.51,17.5,17.5,28.836
2026-07-07 12:20:59,17.5,17.51,17.49,17.5,153.801
2026-07-07 12:21:59,17.5,17.52,17.5,17.52,135.677
2026-07-07 12:22:59,17.51,17.52,17.51,17.51,5.214
2026-07-07 12:23:59,17.51,17.53,17.51,17.53,9.204
2026-07-07 12:24:59,17.52,17.54,17.52,17.54,128.707
2026-07-07 12:25:59,17.53,17.54,17.51,17.51,105.78
2026-07-07 12:26:59,17.5,17.51,17.48,17.48,244.407
2026-07-07 12:27:59,17.48,17.48,17.44,17.45,188.548
2026-07-07 12:28:59,17.44,17.46,17.44,17.46,115.2
2026-07-07 12:29:59,17.46,17.47,17.46,17.46,87.636
2026-07-07 12:30:59,17.46,17.46,17.43,17.43,52.162
2026-07-07 12:31:59,17.43,17.43,17.41,17.42,415.883
2026-07-07 12:32:59,17.43,17.43,17.41,17.43,83.256
2026-07-07 12:33:59,17.42,17.43,17.41,17.42,89.353
2026-07-07 12:34:59,17.42,17.43,17.42,17.42,20.311
2026-07-07 12:35:59,17.42,17.43,17.38,17.38,228.951
2026-07-07 12:36:59,17.39,17.39,17.38,17.38,30.201
2026-07-07 12:37:59,17.38,17.4,17.38,17.38,58.335
2026-07-07 12:38:59,17.38,17.39,17.38,17.38,46.153
2026-07-07 12:39:59,17.38,17.4,17.38,17.39,72.406
2026-07-07 12:40:59,17.39,17.39,17.38,17.39,168.063
2026-07-07 12:41:59,17.39,17.4,17.39,17.4,42.524
2026-07-07 12:42:59,17.39,17.39,17.39,17.39,0.51
2026-07-07 12:43:59,17.39,17.39,17.39,17.39,495.75
2026-07-07 12:44:59,17.39,17.39,17.38,17.38,27.602
2026-07-07 12:45:59,17.38,17.4,17.34,17.37,1548.602
2026-07-07 12:46:59,17.37,17.38,17.37,17.38,26.688
2026-07-07 12:47:59,17.37,17.39,17.36,17.36,68.542
2026-07-07 12:48:59,17.37,17.37,17.37,17.37,46.546
2026-07-07 12:49:59,17.37,17.37,17.37,17.37,16.681
2026-07-07 12:50:59,17.37,17.4,17.37,17.39,385.732
2026-07-07 12:51:59,17.4,17.41,17.4,17.41,9.092
2026-07-07 12:52:59,17.41,17.42,17.41,17.42,96.711
2026-07-07 12:53:59,17.42,17.45,17.4,17.42,639.898
2026-07-07 12:54:59,17.43,17.43,17.42,17.42,36.445
2026-07-07 12:55:59,17.42,17.42,17.4,17.41,265.506
2026-07-07 12:56:59,17.4,17.41,17.4,17.4,113.909
2026-07-07 12:57:59,17.4,17.41,17.4,17.41,59.133
2026-07-07 12:58:59,17.41,17.41,17.36,17.38,3737.378
2026-07-07 12:59:59,17.38,17.4,17.37,17.4,699.953
2026-07-07 13:00:59,17.39,17.41,17.36,17.37,102.9
2026-07-07 13:01:59,17.37,17.37,17.35,17.37,122.104
2026-07-07 13:02:59,17.38,17.38,17.37,17.37,19.182
2026-07-07 13:03:59,17.37,17.37,17.36,17.37,36.341
2026-07-07 13:04:59,17.36,17.37,17.34,17.36,300.133
2026-07-07 13:05:59,17.35,17.35,17.35,17.35,6.879
2026-07-07 13:06:59,17.35,17.36,17.35,17.35,14.363
2026-07-07 13:07:59,17.34,17.34,17.32,17.34,443.866
2026-07-07 13:08:59,17.35,17.36,17.34,17.35,196.844
2026-07-07 13:09:59,17.36,17.37,17.35,17.37,83.006
2026-07-07 13:10:59,17.37,17.38,17.35,17.36,325.003
2026-07-07 13:11:59,17.35,17.35,17.31,17.33,496.907
2026-07-07 13:12:59,17.34,17.35,17.34,17.35,64.383
2026-07-07 13:13:59,17.34,17.34,17.34,17.34,19.263
2026-07-07 13:14:59,17.34,17.34,17.32,17.32,113.304
2026-07-07 13:15:59,17.33,17.33,17.3,17.32,758.517
2026-07-07 13:16:59,17.31,17.31,17.29,17.3,168.888
2026-07-07 13:17:59,17.3,17.31,17.3,17.31,25.797
2026-07-07 13:18:59,17.3,17.32,17.28,17.32,496.518
2026-07-07 13:19:59,17.31,17.32,17.31,17.31,71.446
2026-07-07 13:20:59,17.3,17.3,17.29,17.3,36.497
2026-07-07 13:21:59,17.3,17.31,17.28,17.28,232.399
2026-07-07 13:22:59,17.27,17.28,17.27,17.28,43.583
2026-07-07 13:23:59,17.28,17.28,17.28,17.28,95.994
2026-07-07 13:24:59,17.28,17.28,17.27,17.27,149.074
2026-07-07 13:25:59,17.27,17.28,17.22,17.26,1446.799
2026-07-07 13:26:59,17.25,17.25,17.24,17.24,81.614
2026-07-07 13:27:59,17.25,17.31,17.25,17.27,722.081
2026-07-07 13:28:59,17.27,17.28,17.27,17.28,84.498
2026-07-07 13:29:59,17.26,17.28,17.26,17.28,57.006
2026-07-07 13:30:59,17.28,17.32,17.28,17.32,178.543
2026-07-07 13:31:59,17.3,17.33,17.28,17.32,894.988
2026-07-07 13:32:59,17.31,17.31,17.3,17.31,658.898
2026-07-07 13:33:59,17.31,17.34,17.31,17.33,335.896
2026-07-07 13:34:59,17.32,17.33,17.3,17.33,113.868
2026-07-07 13:35:59,17.34,17.34,17.29,17.3,269.314
2026-07-07 13:36:59,17.31,17.31,17.3,17.3,61.173
2026-07-07 13:37:59,17.3,17.34,17.3,17.33,201.284
2026-07-07 13:38:59,17.33,17.34,17.31,17.31,175.721
2026-07-07 13:39:59,17.31,17.33,17.31,17.32,158.784
2026-07-07 13:40:59,17.32,17.34,17.32,17.34,268.906
2026-07-07 13:41:59,17.34,17.35,17.33,17.33,151.278
2026-07-07 13:42:59,17.34,17.35,17.34,17.34,138.142
2026-07-07 13:43:59,17.34,17.35,17.33,17.33,75.016
2026-07-07 13:44:59,17.33,17.33,17.29,17.31,324.394
2026-07-07 13:45:59,17.31,17.33,17.29,17.32,961.593
2026-07-07 13:46:59,17.31,17.36,17.31,17.35,206.591
2026-07-07 13:47:59,17.35,17.36,17.33,17.33,93.584
2026-07-07 13:48:59,17.32,17.35,17.32,17.32,135.665
2026-07-07 13:49:59,17.33,17.33,17.32,17.32,71.046
2026-07-07 13:50:59,17.33,17.33,17.33,17.33,3.615
2026-07-07 13:51:59,17.32,17.32,17.3,17.31,88.815
2026-07-07 13:52:59,17.31,17.32,17.3,17.31,49.58
2026-07-07 13:53:59,17.31,17.34,17.31,17.31,516.439
2026-07-07 13:54:59,17.3,17.3,17.26,17.28,329.054
2026-07-07 13:55:59,17.28,17.28,17.24,17.25,70.639
2026-07-07 13:56:59,17.25,17.26,17.25,17.25,29.488
2026-07-07 13:57:59,17.26,17.28,17.26,17.26,62.083
2026-07-07 13:58:59,17.27,17.29,17.27,17.27,142.198
2026-07-07 13:59:59,17.27,17.29,17.27,17.27,214.961
2026-07-07 14:00:59,17.26,17.27,17.22,17.26,484.061
2026-07-07 14:01:59,17.26,17.26,17.24,17.25,118.721
2026-07-07 14:02:59,17.25,17.27,17.23,17.27,139.168
2026-07-07 14:03:59,17.27,17.27,17.26,17.26,108.605
2026-07-07 14:04:59,17.25,17.27,17.25,17.27,272.412
2026-07-07 14:05:59,17.27,17.31,17.27,17.31,182.369
2026-07-07 14:06:59,17.31,17.35,17.31,17.33,169.678
2026-07-07 14:07:59,17.33,17.33,17.29,17.29,168.175
2026-07-07 14:08:59,17.3,17.3,17.27,17.29,108.656
2026-07-07 14:09:59,17.29,17.29,17.28,17.29,101.379
2026-07-07 14:10:59,17.29,17.3,17.27,17.29,292.616
2026-07-07 14:11:59,17.29,17.31,17.26,17.26,221.622
2026-07-07 14:12:59,17.27,17.29,17.26,17.29,168.743
2026-07-07 14:13:59,17.28,17.29,17.28,17.28,66.465
2026-07-07 14:14:59,17.28,17.29,17.25,17.27,470.628
2026-07-07 14:15:59,17.26,17.26,17.22,17.25,804.634
2026-07-07 14:16:59,17.26,17.27,17.24,17.25,122.337
2026-07-07 14:17:59,17.26,17.26,17.23,17.26,162.096
2026-07-07 14:18:59,17.27,17.29,17.27,17.28,97.97
2026-07-07 14:19:59,17.28,17.28,17.26,17.27,47.054
2026-07-07 14:20:59,17.28,17.28,17.26,17.26,58.409
2026-07-07 14:21:59,17.27,17.27,17.23,17.24,50.254
2026-07-07 14:22:59,17.25,17.27,17.25,17.27,65.485
2026-07-07 14:23:59,17.27,17.28,17.27,17.27,15.37
2026-07-07 14:24:59,17.27,17.28,17.23,17.23,292.797
2026-07-07 14:25:59,17.22,17.23,17.21,17.22,97.495
2026-07-07 14:26:59,17.21,17.22,17.2,17.21,127.458
2026-07-07 14:27:59,17.21,17.26,17.21,17.25,296.18
