datetime,open,high,low,close,volume
2026-07-06 08:48:59,25.92,25.92,25.88,25.9,319.15
2026-07-06 08:49:59,25.91,25.94,25.9,25.91,480.04
2026-07-06 08:50:59,25.91,25.92,25.87,25.87,364.32
2026-07-06 08:51:59,25.87,25.89,25.84,25.86,729.83
2026-07-06 08:52:59,25.85,25.88,25.83,25.87,694.03
2026-07-06 08:53:59,25.87,25.9,25.86,25.88,227.66
2026-07-06 08:54:59,25.89,25.89,25.87,25.87,174.99
2026-07-06 08:55:59,25.87,25.88,25.86,25.87,125.27
2026-07-06 08:56:59,25.87,25.88,25.85,25.86,200.07
2026-07-06 08:57:59,25.87,25.88,25.81,25.83,407.74
2026-07-06 08:58:59,25.82,25.92,25.81,25.89,1036.12
2026-07-06 08:59:59,25.89,25.89,25.86,25.87,237.21
2026-07-06 09:00:59,25.88,25.9,25.85,25.85,287.02
2026-07-06 09:01:59,25.85,25.9,25.84,25.88,709.14
2026-07-06 09:02:59,25.89,25.89,25.85,25.86,412.64
2026-07-06 09:03:59,25.86,25.94,25.86,25.94,350.82
2026-07-06 09:04:59,25.94,25.94,25.88,25.89,347.49
2026-07-06 09:05:59,25.9,25.9,25.83,25.87,1188.17
2026-07-06 09:06:59,25.87,25.92,25.86,25.9,379.18
2026-07-06 09:07:59,25.89,25.96,25.88,25.91,865.2
2026-07-06 09:08:59,25.91,25.97,25.89,25.89,731.27
2026-07-06 09:09:59,25.9,25.96,25.88,25.88,992.78
2026-07-06 09:10:59,25.88,25.9,25.84,25.85,794.83
2026-07-06 09:11:59,25.85,25.89,25.81,25.82,660.09
2026-07-06 09:12:59,25.82,25.86,25.78,25.84,1434.04
2026-07-06 09:13:59,25.83,25.86,25.8,25.84,613.62
2026-07-06 09:14:59,25.84,25.9,25.84,25.89,942.05
2026-07-06 09:15:59,25.9,25.92,25.87,25.88,712.7
2026-07-06 09:16:59,25.89,25.93,25.88,25.9,628.2
2026-07-06 09:17:59,25.9,25.92,25.88,25.88,552.01
2026-07-06 09:18:59,25.88,25.89,25.84,25.86,463.78
2026-07-06 09:19:59,25.86,25.94,25.84,25.91,517.76
2026-07-06 09:20:59,25.92,26.0,25.92,25.95,1281.69
2026-07-06 09:21:59,25.95,26.0,25.92,25.96,887.59
2026-07-06 09:22:59,25.96,26.01,25.96,25.97,681.32
2026-07-06 09:23:59,25.96,26.08,25.96,26.02,2935.68
2026-07-06 09:24:59,26.02,26.05,25.93,26.0,1447.83
2026-07-06 09:25:59,25.99,26.02,25.96,25.97,450.96
2026-07-06 09:26:59,25.97,26.01,25.97,26.0,326.02
2026-07-06 09:27:59,26.0,26.03,26.0,26.01,282.95
2026-07-06 09:28:59,26.02,26.05,26.01,26.04,293.0
2026-07-06 09:29:59,26.04,26.08,26.04,26.06,769.62
2026-07-06 09:30:59,26.06,26.1,26.04,26.09,1679.91
2026-07-06 09:31:59,26.09,26.22,26.07,26.19,4855.42
2026-07-06 09:32:59,26.18,26.22,26.14,26.16,2284.66
2026-07-06 09:33:59,26.16,26.19,26.13,26.17,1101.68
2026-07-06 09:34:59,26.17,26.19,26.15,26.18,531.08
2026-07-06 09:35:59,26.19,26.2,26.13,26.14,1343.68
2026-07-06 09:36:59,26.14,26.66,26.14,26.5,27270.52
2026-07-06 09:37:59,26.5,26.73,26.47,26.67,12308.53
2026-07-06 09:38:59,26.67,26.77,26.6,26.72,6176.88
2026-07-06 09:39:59,26.72,26.95,26.7,26.8,16819.16
2026-07-06 09:40:59,26.8,26.91,26.76,26.84,5629.77
2026-07-06 09:41:59,26.85,27.24,26.81,26.96,27462.21
2026-07-06 09:42:59,26.98,27.25,26.94,27.12,17388.42
2026-07-06 09:43:59,27.12,27.5,27.1,27.38,16382.59
2026-07-06 09:44:59,27.38,28.38,27.34,27.68,57650.4
2026-07-06 09:45:59,27.68,27.93,27.51,27.7,17667.8
2026-07-06 09:46:59,27.69,27.88,27.62,27.72,10506.3
2026-07-06 09:47:59,27.72,28.05,27.68,27.95,10122.59
2026-07-06 09:48:59,27.94,27.99,27.8,27.81,6308.56
2026-07-06 09:49:59,27.81,27.81,27.46,27.58,10519.82
2026-07-06 09:50:59,27.58,27.8,27.55,27.68,5575.59
2026-07-06 09:51:59,27.68,27.75,27.51,27.57,5545.45
2026-07-06 09:52:59,27.56,27.64,27.44,27.46,6239.93
2026-07-06 09:53:59,27.46,27.64,27.28,27.59,9011.87
2026-07-06 09:54:59,27.59,27.63,27.48,27.49,3534.42
2026-07-06 09:55:59,27.51,27.57,27.42,27.49,3075.82
2026-07-06 09:56:59,27.48,27.6,27.4,27.52,3934.7
2026-07-06 09:57:59,27.51,27.62,27.51,27.6,2402.9
2026-07-06 09:58:59,27.6,27.74,27.51,27.65,5827.46
2026-07-06 09:59:59,27.66,27.8,27.62,27.75,4296.53
2026-07-06 10:00:59,27.75,27.79,27.55,27.6,4351.94
2026-07-06 10:01:59,27.61,27.73,27.56,27.69,3341.49
2026-07-06 10:02:59,27.69,27.71,27.58,27.59,2696.71
2026-07-06 10:03:59,27.57,27.65,27.5,27.52,3401.95
2026-07-06 10:04:59,27.51,27.56,27.38,27.39,4437.63
2026-07-06 10:05:59,27.4,27.52,27.39,27.48,3447.78
2026-07-06 10:06:59,27.49,27.63,27.49,27.58,2274.67
2026-07-06 10:07:59,27.59,27.63,27.36,27.4,3702.63
2026-07-06 10:08:59,27.4,27.5,27.37,27.42,3031.39
2026-07-06 10:09:59,27.43,27.49,27.35,27.35,2244.71
2026-07-06 10:10:59,27.36,27.49,27.35,27.4,2571.46
2026-07-06 10:11:59,27.41,27.46,26.99,27.26,9635.21
2026-07-06 10:12:59,27.27,27.5,27.26,27.26,4436.3
2026-07-06 10:13:59,27.27,27.31,27.01,27.1,7560.21
2026-07-06 10:14:59,27.11,27.14,27.0,27.02,5021.88
2026-07-06 10:15:59,27.03,27.13,26.98,27.11,3273.43
2026-07-06 10:16:59,27.11,27.17,27.03,27.09,2196.72
2026-07-06 10:17:59,27.09,27.27,27.09,27.26,2550.3
2026-07-06 10:18:59,27.25,27.28,27.06,27.07,3124.79
2026-07-06 10:19:59,27.08,27.2,27.0,27.08,3378.81
2026-07-06 10:20:59,27.09,27.28,27.09,27.28,4103.13
2026-07-06 10:21:59,27.27,27.5,27.26,27.36,2833.99
2026-07-06 10:22:59,27.37,27.39,27.28,27.37,1659.25
2026-07-06 10:23:59,27.37,27.4,27.34,27.38,1126.77
2026-07-06 10:24:59,27.37,27.45,27.35,27.45,2041.67
2026-07-06 10:25:59,27.45,27.48,27.39,27.39,688.1
2026-07-06 10:26:59,27.4,27.56,27.4,27.55,1743.59
2026-07-06 10:27:59,27.56,27.62,27.35,27.38,3110.87
2026-07-06 10:28:59,27.38,27.39,27.31,27.32,1487.07
2026-07-06 10:29:59,27.33,27.44,27.32,27.42,1142.46
2026-07-06 10:30:59,27.43,27.45,27.36,27.41,1372.5
2026-07-06 10:31:59,27.4,27.52,27.4,27.51,1656.15
2026-07-06 10:32:59,27.5,27.57,27.4,27.4,1165.66
2026-07-06 10:33:59,27.41,27.48,27.41,27.46,1120.23
2026-07-06 10:34:59,27.47,27.49,27.32,27.32,1580.34
2026-07-06 10:35:59,27.33,27.41,27.31,27.41,693.61
2026-07-06 10:36:59,27.41,27.43,27.28,27.31,1167.31
2026-07-06 10:37:59,27.32,27.32,27.24,27.29,676.73
2026-07-06 10:38:59,27.29,27.31,27.16,27.28,1599.8
2026-07-06 10:39:59,27.28,27.33,27.28,27.29,622.85
2026-07-06 10:40:59,27.29,27.36,27.28,27.33,1161.52
2026-07-06 10:41:59,27.34,27.35,27.3,27.34,962.98
2026-07-06 10:42:59,27.33,27.36,27.19,27.26,1619.13
2026-07-06 10:43:59,27.26,27.42,27.26,27.4,1151.52
2026-07-06 10:44:59,27.4,27.55,27.4,27.46,1790.96
2026-07-06 10:45:59,27.47,27.58,27.46,27.57,1733.42
2026-07-06 10:46:59,27.57,27.63,27.53,27.56,1455.2
2026-07-06 10:47:59,27.56,27.6,27.54,27.57,927.61
2026-07-06 10:48:59,27.58,27.63,27.55,27.59,1097.64
2026-07-06 10:49:59,27.6,27.68,27.56,27.58,2333.03
2026-07-06 10:50:59,27.58,27.64,27.56,27.64,792.8
2026-07-06 10:51:59,27.62,27.71,27.59,27.68,2127.29
2026-07-06 10:52:59,27.68,27.7,27.58,27.6,1657.12
2026-07-06 10:53:59,27.59,27.63,27.52,27.58,1497.0
2026-07-06 10:54:59,27.58,27.61,27.53,27.57,955.79
2026-07-06 10:55:59,27.58,27.61,27.55,27.6,957.61
2026-07-06 10:56:59,27.59,27.69,27.47,27.53,2263.84
2026-07-06 10:57:59,27.55,27.61,27.55,27.59,412.09
2026-07-06 10:58:59,27.59,27.6,27.5,27.51,1033.5
2026-07-06 10:59:59,27.52,27.53,27.41,27.44,1570.84
2026-07-06 11:00:59,27.45,27.57,27.43,27.56,893.87
2026-07-06 11:01:59,27.56,27.63,27.55,27.57,977.91
2026-07-06 11:02:59,27.57,27.62,27.57,27.57,490.01
2026-07-06 11:03:59,27.57,27.61,27.52,27.52,1433.35
2026-07-06 11:04:59,27.52,27.56,27.4,27.42,2655.69
2026-07-06 11:05:59,27.43,27.51,27.42,27.49,912.08
2026-07-06 11:06:59,27.5,27.54,27.44,27.44,1396.62
2026-07-06 11:07:59,27.44,27.65,27.44,27.6,2652.49
2026-07-06 11:08:59,27.61,27.65,27.59,27.64,808.52
2026-07-06 11:09:59,27.64,27.69,27.53,27.59,1116.17
2026-07-06 11:10:59,27.59,27.66,27.59,27.65,764.75
2026-07-06 11:11:59,27.66,27.73,27.62,27.72,1451.57
2026-07-06 11:12:59,27.72,27.83,27.71,27.79,4680.52
2026-07-06 11:13:59,27.79,27.8,27.74,27.78,1305.8
2026-07-06 11:14:59,27.78,27.8,27.75,27.77,1723.7
2026-07-06 11:15:59,27.77,27.79,27.73,27.77,1310.32
2026-07-06 11:16:59,27.77,27.8,27.69,27.73,1728.46
2026-07-06 11:17:59,27.73,27.74,27.67,27.67,1178.9
2026-07-06 11:18:59,27.67,27.71,27.65,27.7,954.92
2026-07-06 11:19:59,27.69,27.73,27.67,27.73,1089.7
2026-07-06 11:20:59,27.73,27.77,27.69,27.7,1202.32
2026-07-06 11:21:59,27.7,27.71,27.61,27.7,2020.06
2026-07-06 11:22:59,27.7,27.73,27.67,27.68,799.45
2026-07-06 11:23:59,27.68,27.71,27.61,27.66,1050.37
2026-07-06 11:24:59,27.67,27.7,27.66,27.69,632.43
2026-07-06 11:25:59,27.69,27.72,27.66,27.67,866.63
2026-07-06 11:26:59,27.66,27.8,27.63,27.74,2627.32
