datetime,open,high,low,close,volume
2026-07-11 16:58:59,4.197,4.198,4.197,4.198,39.8
2026-07-11 16:59:59,4.198,4.198,4.197,4.198,147.4
2026-07-11 17:00:59,4.197,4.197,4.195,4.197,156.2
2026-07-11 17:01:59,4.195,4.196,4.192,4.192,203.3
2026-07-11 17:02:59,4.193,4.193,4.189,4.192,1012.4
2026-07-11 17:03:59,4.191,4.192,4.191,4.191,8.8
2026-07-11 17:04:59,4.192,4.194,4.192,4.194,20.1
2026-07-11 17:05:59,4.193,4.193,4.189,4.189,743.0
2026-07-11 17:06:59,4.19,4.194,4.189,4.194,1514.1
2026-07-11 17:07:59,4.194,4.196,4.194,4.196,74.5
2026-07-11 17:08:59,4.195,4.195,4.195,4.195,2.9
2026-07-11 17:09:59,4.196,4.197,4.195,4.197,39.0
2026-07-11 17:10:59,4.197,4.197,4.196,4.196,4.6
2026-07-11 17:11:59,4.196,4.196,4.196,4.196,0.0
2026-07-11 17:12:59,4.197,4.197,4.196,4.196,193.2
2026-07-11 17:13:59,4.196,4.196,4.196,4.196,12.0
2026-07-11 17:14:59,4.197,4.197,4.196,4.196,326.8
2026-07-11 17:15:59,4.195,4.196,4.195,4.196,12.0
2026-07-11 17:16:59,4.196,4.197,4.196,4.196,344.9
2026-07-11 17:17:59,4.196,4.197,4.196,4.197,101.5
2026-07-11 17:18:59,4.196,4.197,4.196,4.197,78.7
2026-07-11 17:19:59,4.197,4.197,4.197,4.197,21.1
2026-07-11 17:20:59,4.196,4.196,4.195,4.195,70.7
2026-07-11 17:21:59,4.194,4.195,4.194,4.195,145.4
2026-07-11 17:22:59,4.194,4.195,4.193,4.193,87.1
2026-07-11 17:23:59,4.194,4.195,4.192,4.192,298.8
2026-07-11 17:24:59,4.195,4.195,4.195,4.195,2.6
2026-07-11 17:25:59,4.195,4.198,4.195,4.198,189.4
2026-07-11 17:26:59,4.199,4.199,4.199,4.199,2.4
2026-07-11 17:27:59,4.199,4.202,4.199,4.202,206.9
2026-07-11 17:28:59,4.202,4.203,4.202,4.203,233.7
2026-07-11 17:29:59,4.203,4.203,4.201,4.203,51.3
2026-07-11 17:30:59,4.202,4.202,4.202,4.202,2.7
2026-07-11 17:31:59,4.203,4.208,4.203,4.205,813.1
2026-07-11 17:32:59,4.206,4.207,4.204,4.204,616.8
2026-07-11 17:33:59,4.205,4.205,4.204,4.204,121.9
2026-07-11 17:34:59,4.203,4.205,4.203,4.204,117.7
2026-07-11 17:35:59,4.204,4.204,4.204,4.204,2.1
2026-07-11 17:36:59,4.203,4.203,4.2,4.2,226.1
2026-07-11 17:37:59,4.2,4.206,4.2,4.206,657.3
2026-07-11 17:38:59,4.206,4.208,4.206,4.206,369.4
2026-07-11 17:39:59,4.206,4.208,4.205,4.205,343.3
2026-07-11 17:40:59,4.205,4.209,4.205,4.207,552.2
2026-07-11 17:41:59,4.206,4.206,4.205,4.206,155.7
2026-07-11 17:42:59,4.206,4.206,4.206,4.206,38.7
2026-07-11 17:43:59,4.205,4.205,4.205,4.205,2.6
2026-07-11 17:44:59,4.206,4.207,4.206,4.207,103.8
2026-07-11 17:45:59,4.206,4.207,4.205,4.206,344.6
2026-07-11 17:46:59,4.205,4.206,4.204,4.204,947.0
2026-07-11 17:47:59,4.204,4.204,4.204,4.204,1.6
