datetime,open,high,low,close,volume
2026-07-13 05:27:59,6.859,6.86,6.855,6.857,984.6
2026-07-13 05:28:59,6.856,6.856,6.853,6.855,618.6
2026-07-13 05:29:59,6.855,6.857,6.855,6.855,639.98
2026-07-13 05:30:59,6.856,6.858,6.846,6.854,8581.39
2026-07-13 05:31:59,6.854,6.86,6.854,6.855,1858.19
2026-07-13 05:32:59,6.855,6.859,6.855,6.859,1226.47
2026-07-13 05:33:59,6.859,6.866,6.859,6.866,488.77
2026-07-13 05:34:59,6.867,6.871,6.867,6.87,322.7
2026-07-13 05:35:59,6.871,6.873,6.87,6.87,904.54
2026-07-13 05:36:59,6.87,6.874,6.868,6.874,1843.87
2026-07-13 05:37:59,6.873,6.875,6.87,6.872,1316.76
2026-07-13 05:38:59,6.873,6.876,6.873,6.873,379.02
2026-07-13 05:39:59,6.874,6.876,6.874,6.875,761.18
2026-07-13 05:40:59,6.875,6.877,6.874,6.875,689.7
2026-07-13 05:41:59,6.876,6.879,6.875,6.877,704.14
2026-07-13 05:42:59,6.877,6.878,6.876,6.878,1543.86
2026-07-13 05:43:59,6.877,6.877,6.874,6.876,388.15
2026-07-13 05:44:59,6.877,6.88,6.877,6.88,670.34
2026-07-13 05:45:59,6.88,6.88,6.876,6.877,855.96
2026-07-13 05:46:59,6.878,6.881,6.877,6.88,1104.66
2026-07-13 05:47:59,6.879,6.881,6.878,6.88,189.45
2026-07-13 05:48:59,6.881,6.885,6.879,6.88,3147.64
2026-07-13 05:49:59,6.88,6.88,6.878,6.88,579.48
2026-07-13 05:50:59,6.881,6.888,6.881,6.887,749.57
2026-07-13 05:51:59,6.888,6.889,6.887,6.888,530.96
2026-07-13 05:52:59,6.888,6.888,6.881,6.884,4612.96
2026-07-13 05:53:59,6.885,6.885,6.883,6.884,197.7
2026-07-13 05:54:59,6.884,6.893,6.883,6.891,9439.8
2026-07-13 05:55:59,6.891,6.892,6.886,6.886,6067.69
2026-07-13 05:56:59,6.886,6.887,6.884,6.884,854.1
2026-07-13 05:57:59,6.884,6.892,6.884,6.89,1387.64
2026-07-13 05:58:59,6.889,6.892,6.889,6.891,2598.99
2026-07-13 05:59:59,6.891,6.895,6.89,6.892,1481.8
2026-07-13 06:00:59,6.893,6.896,6.884,6.888,3399.43
2026-07-13 06:01:59,6.888,6.888,6.882,6.886,1241.23
2026-07-13 06:02:59,6.887,6.887,6.881,6.881,578.58
2026-07-13 06:03:59,6.881,6.881,6.88,6.88,186.47
2026-07-13 06:04:59,6.88,6.88,6.876,6.88,2075.0
2026-07-13 06:05:59,6.88,6.88,6.876,6.878,297.96
2026-07-13 06:06:59,6.878,6.879,6.875,6.875,202.86
2026-07-13 06:07:59,6.874,6.874,6.872,6.873,919.74
2026-07-13 06:08:59,6.872,6.873,6.872,6.872,127.03
2026-07-13 06:09:59,6.873,6.873,6.871,6.872,299.86
2026-07-13 06:10:59,6.871,6.871,6.865,6.865,1692.34
2026-07-13 06:11:59,6.865,6.865,6.862,6.864,2078.47
2026-07-13 06:12:59,6.864,6.864,6.86,6.861,647.94
2026-07-13 06:13:59,6.861,6.863,6.859,6.861,1551.1
2026-07-13 06:14:59,6.86,6.862,6.86,6.862,592.85
2026-07-13 06:15:59,6.862,6.869,6.862,6.867,1945.11
2026-07-13 06:16:59,6.867,6.868,6.864,6.868,1327.7
2026-07-13 06:17:59,6.868,6.869,6.865,6.865,971.39
2026-07-13 06:18:59,6.866,6.867,6.865,6.866,504.82
2026-07-13 06:19:59,6.866,6.869,6.866,6.868,922.85
2026-07-13 06:20:59,6.868,6.871,6.867,6.869,1213.6
2026-07-13 06:21:59,6.869,6.869,6.865,6.866,430.69
2026-07-13 06:22:59,6.866,6.871,6.865,6.871,1469.45
2026-07-13 06:23:59,6.871,6.872,6.87,6.87,761.2
2026-07-13 06:24:59,6.87,6.873,6.868,6.873,1203.83
2026-07-13 06:25:59,6.872,6.886,6.872,6.886,1405.77
2026-07-13 06:26:59,6.885,6.89,6.883,6.889,2702.77
2026-07-13 06:27:59,6.888,6.888,6.885,6.885,381.42
2026-07-13 06:28:59,6.885,6.889,6.885,6.889,659.29
2026-07-13 06:29:59,6.889,6.893,6.888,6.891,2704.69
2026-07-13 06:30:59,6.893,6.896,6.889,6.889,715.61
2026-07-13 06:31:59,6.888,6.888,6.885,6.885,259.12
2026-07-13 06:32:59,6.885,6.886,6.88,6.88,1068.41
