datetime,open,high,low,close,volume
2026-07-07 10:23:59,7.947,7.947,7.944,7.945,1726.04
2026-07-07 10:24:59,7.945,7.949,7.945,7.948,3999.23
2026-07-07 10:25:59,7.948,7.951,7.947,7.951,7557.92
2026-07-07 10:26:59,7.952,7.956,7.952,7.956,5078.58
2026-07-07 10:27:59,7.956,7.956,7.95,7.95,6154.51
2026-07-07 10:28:59,7.95,7.95,7.948,7.949,1986.24
2026-07-07 10:29:59,7.948,7.948,7.94,7.94,3131.89
2026-07-07 10:30:59,7.939,7.939,7.923,7.924,6720.52
2026-07-07 10:31:59,7.924,7.927,7.921,7.921,2195.81
2026-07-07 10:32:59,7.921,7.931,7.92,7.93,6448.4
2026-07-07 10:33:59,7.93,7.933,7.927,7.933,2853.82
2026-07-07 10:34:59,7.933,7.933,7.928,7.929,2000.22
2026-07-07 10:35:59,7.93,7.933,7.929,7.93,2473.05
2026-07-07 10:36:59,7.93,7.935,7.93,7.934,1396.15
2026-07-07 10:37:59,7.935,7.937,7.932,7.936,3640.5
2026-07-07 10:38:59,7.937,7.939,7.93,7.931,6483.48
2026-07-07 10:39:59,7.931,7.932,7.926,7.929,8113.21
2026-07-07 10:40:59,7.928,7.928,7.924,7.928,7560.43
2026-07-07 10:41:59,7.929,7.931,7.929,7.931,2610.92
2026-07-07 10:42:59,7.93,7.931,7.926,7.926,868.52
2026-07-07 10:43:59,7.926,7.928,7.924,7.924,4261.13
2026-07-07 10:44:59,7.924,7.926,7.922,7.922,1800.95
2026-07-07 10:45:59,7.922,7.922,7.919,7.92,2055.75
2026-07-07 10:46:59,7.92,7.922,7.92,7.922,1297.3
2026-07-07 10:47:59,7.921,7.922,7.91,7.911,8891.98
2026-07-07 10:48:59,7.91,7.915,7.909,7.915,1302.35
2026-07-07 10:49:59,7.915,7.915,7.91,7.91,1630.55
2026-07-07 10:50:59,7.909,7.91,7.905,7.907,8197.68
2026-07-07 10:51:59,7.907,7.912,7.907,7.911,9044.87
2026-07-07 10:52:59,7.911,7.911,7.904,7.908,8407.38
2026-07-07 10:53:59,7.909,7.91,7.909,7.91,409.72
2026-07-07 10:54:59,7.91,7.91,7.908,7.908,791.32
2026-07-07 10:55:59,7.908,7.908,7.903,7.905,1733.82
2026-07-07 10:56:59,7.906,7.906,7.902,7.903,2245.91
2026-07-07 10:57:59,7.903,7.906,7.903,7.906,454.82
2026-07-07 10:58:59,7.906,7.908,7.905,7.905,7888.45
2026-07-07 10:59:59,7.906,7.909,7.906,7.909,2841.24
2026-07-07 11:00:59,7.909,7.909,7.888,7.889,18342.64
2026-07-07 11:01:59,7.889,7.893,7.889,7.892,5335.28
2026-07-07 11:02:59,7.891,7.891,7.881,7.889,13762.42
2026-07-07 11:03:59,7.889,7.891,7.884,7.884,2320.16
2026-07-07 11:04:59,7.885,7.895,7.882,7.891,38693.06
2026-07-07 11:05:59,7.891,7.894,7.887,7.889,4272.95
2026-07-07 11:06:59,7.89,7.894,7.89,7.894,3193.62
2026-07-07 11:07:59,7.894,7.9,7.894,7.899,5383.9
2026-07-07 11:08:59,7.898,7.9,7.896,7.896,1569.57
2026-07-07 11:09:59,7.895,7.896,7.892,7.894,4624.3
2026-07-07 11:10:59,7.893,7.894,7.886,7.886,13767.14
2026-07-07 11:11:59,7.885,7.888,7.885,7.888,4962.72
2026-07-07 11:12:59,7.887,7.889,7.887,7.889,2702.58
2026-07-07 11:13:59,7.889,7.889,7.885,7.885,15511.29
2026-07-07 11:14:59,7.885,7.89,7.885,7.888,2360.9
2026-07-07 11:15:59,7.887,7.891,7.886,7.891,1440.97
2026-07-07 11:16:59,7.89,7.896,7.89,7.894,2644.98
2026-07-07 11:17:59,7.894,7.895,7.893,7.895,2028.48
2026-07-07 11:18:59,7.896,7.899,7.896,7.898,1191.51
2026-07-07 11:19:59,7.899,7.901,7.898,7.899,2450.45
2026-07-07 11:20:59,7.898,7.9,7.897,7.899,972.25
2026-07-07 11:21:59,7.899,7.902,7.899,7.902,4507.84
2026-07-07 11:22:59,7.902,7.906,7.901,7.906,2317.26
2026-07-07 11:23:59,7.905,7.905,7.9,7.902,1993.06
2026-07-07 11:24:59,7.901,7.903,7.901,7.903,830.03
2026-07-07 11:25:59,7.904,7.909,7.903,7.909,3336.1
2026-07-07 11:26:59,7.909,7.912,7.902,7.902,3465.98
2026-07-07 11:27:59,7.901,7.902,7.9,7.902,644.76
2026-07-07 11:28:59,7.902,7.903,7.9,7.901,2905.57
2026-07-07 11:29:59,7.901,7.902,7.9,7.901,72.25
2026-07-07 11:30:59,7.9,7.901,7.898,7.9,2777.79
2026-07-07 11:31:59,7.9,7.902,7.895,7.897,7952.49
2026-07-07 11:32:59,7.896,7.897,7.893,7.893,783.99
2026-07-07 11:33:59,7.892,7.899,7.891,7.899,4110.27
2026-07-07 11:34:59,7.898,7.899,7.895,7.895,742.47
2026-07-07 11:35:59,7.895,7.896,7.891,7.895,1835.05
2026-07-07 11:36:59,7.896,7.907,7.896,7.904,3229.09
2026-07-07 11:37:59,7.903,7.903,7.898,7.9,2500.03
2026-07-07 11:38:59,7.9,7.901,7.897,7.897,2105.87
2026-07-07 11:39:59,7.897,7.898,7.897,7.897,391.53
2026-07-07 11:40:59,7.897,7.897,7.894,7.897,418.2
2026-07-07 11:41:59,7.896,7.897,7.894,7.896,2987.23
2026-07-07 11:42:59,7.896,7.9,7.896,7.9,1211.66
2026-07-07 11:43:59,7.901,7.905,7.901,7.905,10021.67
2026-07-07 11:44:59,7.906,7.911,7.9,7.91,37627.22
2026-07-07 11:45:59,7.91,7.92,7.91,7.915,8946.06
2026-07-07 11:46:59,7.915,7.93,7.914,7.929,23491.26
2026-07-07 11:47:59,7.93,7.93,7.922,7.923,3515.8
2026-07-07 11:48:59,7.923,7.925,7.922,7.925,2356.07
2026-07-07 11:49:59,7.924,7.931,7.923,7.931,4277.91
2026-07-07 11:50:59,7.931,7.934,7.928,7.929,6725.18
2026-07-07 11:51:59,7.928,7.93,7.924,7.924,3212.07
2026-07-07 11:52:59,7.923,7.923,7.92,7.921,2065.48
2026-07-07 11:53:59,7.921,7.921,7.912,7.913,1133.43
2026-07-07 11:54:59,7.913,7.918,7.913,7.918,2847.88
2026-07-07 11:55:59,7.918,7.922,7.918,7.922,381.15
2026-07-07 11:56:59,7.922,7.922,7.919,7.922,4485.06
2026-07-07 11:57:59,7.921,7.923,7.919,7.923,3550.77
2026-07-07 11:58:59,7.923,7.924,7.922,7.923,1209.18
2026-07-07 11:59:59,7.923,7.924,7.923,7.924,1665.66
2026-07-07 12:00:59,7.923,7.927,7.923,7.924,3909.85
2026-07-07 12:01:59,7.923,7.924,7.921,7.922,2916.15
2026-07-07 12:02:59,7.922,7.928,7.921,7.928,3928.94
2026-07-07 12:03:59,7.927,7.931,7.923,7.929,7220.61
2026-07-07 12:04:59,7.929,7.939,7.928,7.939,11259.42
2026-07-07 12:05:59,7.939,7.95,7.938,7.947,13150.73
2026-07-07 12:06:59,7.947,7.966,7.944,7.964,23213.64
2026-07-07 12:07:59,7.963,7.971,7.957,7.966,11722.46
2026-07-07 12:08:59,7.967,7.973,7.96,7.966,10727.74
2026-07-07 12:09:59,7.966,7.976,7.966,7.975,7193.73
2026-07-07 12:10:59,7.975,7.976,7.964,7.966,8212.59
