datetime,open,high,low,close,volume
2026-07-13 05:27:59,1.9864,1.9864,1.985,1.9851,1090.0
2026-07-13 05:28:59,1.9852,1.9852,1.9824,1.9844,1964.7
2026-07-13 05:29:59,1.9844,1.9845,1.9842,1.9842,42.2
2026-07-13 05:30:59,1.9842,1.9856,1.9792,1.982,12100.0
2026-07-13 05:31:59,1.9821,1.9835,1.9817,1.9817,1748.8
2026-07-13 05:32:59,1.9817,1.9849,1.9817,1.9849,1629.5
2026-07-13 05:33:59,1.9848,1.9878,1.9846,1.9877,2132.1
2026-07-13 05:34:59,1.9878,1.9899,1.9876,1.9897,876.1
2026-07-13 05:35:59,1.9897,1.9916,1.9891,1.9916,2615.4
2026-07-13 05:36:59,1.9917,1.9918,1.9902,1.9918,1510.0
2026-07-13 05:37:59,1.9918,1.9939,1.9914,1.9933,2990.0
2026-07-13 05:38:59,1.9932,1.9943,1.9927,1.9935,1387.2
2026-07-13 05:39:59,1.9935,1.9936,1.9907,1.9908,1798.5
2026-07-13 05:40:59,1.9909,1.9913,1.9905,1.9906,1887.6
2026-07-13 05:41:59,1.9906,1.9906,1.9898,1.9904,1291.2
2026-07-13 05:42:59,1.9901,1.9901,1.9878,1.9878,646.6
2026-07-13 05:43:59,1.9878,1.9882,1.987,1.9876,1210.1
2026-07-13 05:44:59,1.9877,1.9887,1.9876,1.9882,1228.3
2026-07-13 05:45:59,1.9882,1.9883,1.9863,1.9869,787.9
2026-07-13 05:46:59,1.9869,1.9886,1.9869,1.9882,416.3
2026-07-13 05:47:59,1.9884,1.9885,1.9879,1.9879,800.2
2026-07-13 05:48:59,1.988,1.989,1.9876,1.9888,1206.7
2026-07-13 05:49:59,1.9889,1.9893,1.9876,1.989,571.7
2026-07-13 05:50:59,1.989,1.9899,1.9889,1.9896,141.4
2026-07-13 05:51:59,1.9897,1.99,1.988,1.988,1064.1
2026-07-13 05:52:59,1.9883,1.9885,1.9878,1.9878,259.5
2026-07-13 05:53:59,1.9878,1.9878,1.987,1.987,235.5
2026-07-13 05:54:59,1.9871,1.9871,1.9861,1.9861,334.2
2026-07-13 05:55:59,1.9862,1.9862,1.9854,1.9858,145.0
2026-07-13 05:56:59,1.9859,1.9859,1.9853,1.9859,552.6
2026-07-13 05:57:59,1.9859,1.9862,1.9854,1.9859,177.4
2026-07-13 05:58:59,1.9858,1.9858,1.985,1.985,122.8
2026-07-13 05:59:59,1.985,1.9854,1.9843,1.985,1076.9
2026-07-13 06:00:59,1.9851,1.9868,1.9851,1.9868,754.6
2026-07-13 06:01:59,1.9868,1.9892,1.9862,1.9892,1381.4
2026-07-13 06:02:59,1.9894,1.9894,1.9879,1.989,643.9
2026-07-13 06:03:59,1.9891,1.9927,1.9891,1.9902,2877.9
2026-07-13 06:04:59,1.9901,1.992,1.9891,1.9909,4656.9
2026-07-13 06:05:59,1.991,1.9919,1.9908,1.9919,353.5
2026-07-13 06:06:59,1.9919,1.9939,1.9917,1.9929,1999.7
2026-07-13 06:07:59,1.9931,1.9935,1.9917,1.9929,2158.8
2026-07-13 06:08:59,1.993,1.9941,1.993,1.9941,1215.4
2026-07-13 06:09:59,1.9942,1.9947,1.9933,1.9947,975.4
2026-07-13 06:10:59,1.9947,1.995,1.9928,1.9939,3446.7
2026-07-13 06:11:59,1.994,1.994,1.9917,1.9933,3433.2
2026-07-13 06:12:59,1.9933,1.9934,1.9929,1.993,1613.7
2026-07-13 06:13:59,1.993,1.9944,1.993,1.9944,1182.4
2026-07-13 06:14:59,1.9945,1.9957,1.9945,1.9957,1374.0
2026-07-13 06:15:59,1.9956,1.9962,1.9953,1.9956,1828.0
2026-07-13 06:16:59,1.9959,1.996,1.9945,1.9959,843.9
2026-07-13 06:17:59,1.9961,1.9962,1.995,1.9951,817.5
2026-07-13 06:18:59,1.9951,1.9965,1.995,1.9962,358.8
2026-07-13 06:19:59,1.9963,1.9963,1.9954,1.996,517.3
2026-07-13 06:20:59,1.9961,1.9963,1.9949,1.9949,543.5
