datetime,open,high,low,close,volume
2026-07-13 05:27:59,65.25,65.26,65.23,65.23,6.8
2026-07-13 05:28:59,65.24,65.24,65.18,65.2,32.0
2026-07-13 05:29:59,65.19,65.19,65.18,65.18,0.4
2026-07-13 05:30:59,65.18,65.18,65.02,65.06,89.9
2026-07-13 05:31:59,65.09,65.11,65.09,65.11,7.2
2026-07-13 05:32:59,65.12,65.12,65.11,65.11,18.3
2026-07-13 05:33:59,65.13,65.17,65.13,65.17,5.4
2026-07-13 05:34:59,65.16,65.22,65.16,65.21,5.5
2026-07-13 05:35:59,65.2,65.24,65.19,65.24,11.2
2026-07-13 05:36:59,65.24,65.25,65.23,65.25,3.5
2026-07-13 05:37:59,65.25,65.26,65.25,65.26,7.2
2026-07-13 05:38:59,65.26,65.26,65.25,65.25,0.8
2026-07-13 05:39:59,65.24,65.26,65.24,65.26,7.5
2026-07-13 05:40:59,65.26,65.26,65.26,65.26,0.0
2026-07-13 05:41:59,65.26,65.26,65.26,65.26,6.9
2026-07-13 05:42:59,65.27,65.27,65.25,65.25,8.3
2026-07-13 05:43:59,65.25,65.25,65.25,65.25,6.2
2026-07-13 05:44:59,65.25,65.26,65.25,65.26,12.4
2026-07-13 05:45:59,65.27,65.27,65.25,65.25,2.2
2026-07-13 05:46:59,65.25,65.25,65.25,65.25,0.4
2026-07-13 05:47:59,65.25,65.25,65.25,65.25,2.1
2026-07-13 05:48:59,65.25,65.25,65.24,65.24,24.0
2026-07-13 05:49:59,65.25,65.25,65.23,65.23,1.0
2026-07-13 05:50:59,65.25,65.29,65.25,65.28,12.3
2026-07-13 05:51:59,65.28,65.28,65.28,65.28,0.9
2026-07-13 05:52:59,65.27,65.27,65.27,65.27,1.1
2026-07-13 05:53:59,65.26,65.26,65.26,65.26,0.1
2026-07-13 05:54:59,65.26,65.27,65.26,65.27,1.2
2026-07-13 05:55:59,65.27,65.27,65.27,65.27,0.0
2026-07-13 05:56:59,65.26,65.27,65.26,65.27,16.7
2026-07-13 05:57:59,65.26,65.28,65.26,65.28,0.4
2026-07-13 05:58:59,65.28,65.28,65.28,65.28,0.0
2026-07-13 05:59:59,65.29,65.3,65.29,65.3,28.7
2026-07-13 06:00:59,65.31,65.32,65.31,65.32,5.3
2026-07-13 06:01:59,65.33,65.33,65.31,65.32,13.3
2026-07-13 06:02:59,65.31,65.31,65.28,65.28,5.2
2026-07-13 06:03:59,65.28,65.28,65.27,65.27,0.6
2026-07-13 06:04:59,65.27,65.28,65.27,65.27,2.3
2026-07-13 06:05:59,65.28,65.29,65.28,65.28,11.3
2026-07-13 06:06:59,65.28,65.29,65.27,65.29,7.6
2026-07-13 06:07:59,65.28,65.28,65.28,65.28,0.9
2026-07-13 06:08:59,65.29,65.29,65.26,65.26,26.0
2026-07-13 06:09:59,65.26,65.26,65.24,65.24,13.7
2026-07-13 06:10:59,65.24,65.24,65.21,65.22,21.5
2026-07-13 06:11:59,65.2,65.2,65.2,65.2,0.2
2026-07-13 06:12:59,65.18,65.18,65.16,65.16,29.4
2026-07-13 06:13:59,65.16,65.16,65.16,65.16,0.0
2026-07-13 06:14:59,65.16,65.16,65.16,65.16,0.3
2026-07-13 06:15:59,65.17,65.18,65.15,65.18,28.2
2026-07-13 06:16:59,65.18,65.18,65.17,65.18,1.0
2026-07-13 06:17:59,65.19,65.19,65.17,65.17,0.7
2026-07-13 06:18:59,65.18,65.21,65.18,65.21,5.0
2026-07-13 06:19:59,65.21,65.26,65.2,65.26,11.6
2026-07-13 06:20:59,65.24,65.25,65.23,65.25,0.8
2026-07-13 06:21:59,65.25,65.25,65.24,65.25,10.0
2026-07-13 06:22:59,65.25,65.26,65.25,65.26,1.1
2026-07-13 06:23:59,65.25,65.25,65.25,65.25,0.4
2026-07-13 06:24:59,65.25,65.26,65.25,65.26,4.7
2026-07-13 06:25:59,65.27,65.32,65.27,65.32,4.9
2026-07-13 06:26:59,65.33,65.34,65.31,65.34,3.5
2026-07-13 06:27:59,65.33,65.33,65.33,65.33,5.7
2026-07-13 06:28:59,65.33,65.33,65.33,65.33,0.0
2026-07-13 06:29:59,65.33,65.34,65.33,65.34,17.4
2026-07-13 06:30:59,65.35,65.38,65.34,65.34,48.9
2026-07-13 06:31:59,65.36,65.38,65.34,65.38,15.5
2026-07-13 06:32:59,65.38,65.38,65.33,65.33,19.2
2026-07-13 06:33:59,65.33,65.33,65.33,65.33,24.4
2026-07-13 06:34:59,65.34,65.34,65.33,65.33,0.4
2026-07-13 06:35:59,65.34,65.34,65.34,65.34,0.4
2026-07-13 06:36:59,65.33,65.33,65.33,65.33,11.2
2026-07-13 06:37:59,65.32,65.33,65.32,65.33,5.5
2026-07-13 06:38:59,65.33,65.33,65.33,65.33,1.5
2026-07-13 06:39:59,65.33,65.33,65.33,65.33,0.0
2026-07-13 06:40:59,65.33,65.33,65.33,65.33,0.0
2026-07-13 06:41:59,65.33,65.33,65.32,65.32,18.3
2026-07-13 06:42:59,65.32,65.32,65.32,65.32,2.0
2026-07-13 06:43:59,65.32,65.34,65.32,65.33,41.1
2026-07-13 06:44:59,65.33,65.33,65.29,65.29,21.1
2026-07-13 06:45:59,65.27,65.27,65.24,65.24,5.6
2026-07-13 06:46:59,65.24,65.27,65.23,65.23,27.4
2026-07-13 06:47:59,65.25,65.28,65.25,65.28,0.9
2026-07-13 06:48:59,65.28,65.28,65.26,65.26,1.9
2026-07-13 06:49:59,65.27,65.27,65.24,65.24,2.8
2026-07-13 06:50:59,65.24,65.25,65.23,65.23,1.2
2026-07-13 06:51:59,65.25,65.25,65.24,65.25,4.2
2026-07-13 06:52:59,65.24,65.24,65.23,65.23,0.3
2026-07-13 06:53:59,65.23,65.23,65.23,65.23,0.2
2026-07-13 06:54:59,65.23,65.23,65.2,65.2,20.2
2026-07-13 06:55:59,65.2,65.2,65.2,65.2,12.7
2026-07-13 06:56:59,65.23,65.23,65.23,65.23,2.5
2026-07-13 06:57:59,65.22,65.22,65.21,65.21,0.5
2026-07-13 06:58:59,65.21,65.21,65.21,65.21,0.3
2026-07-13 06:59:59,65.21,65.22,65.21,65.22,11.2
2026-07-13 07:00:59,65.23,65.23,65.15,65.15,25.8
2026-07-13 07:01:59,65.15,65.16,65.15,65.16,0.5
2026-07-13 07:02:59,65.15,65.15,65.12,65.12,20.2
2026-07-13 07:03:59,65.11,65.15,65.08,65.08,60.2
2026-07-13 07:04:59,65.1,65.12,65.1,65.11,1.5
2026-07-13 07:05:59,65.11,65.11,65.1,65.1,1.7
2026-07-13 07:06:59,65.1,65.1,65.05,65.06,23.0
2026-07-13 07:07:59,65.08,65.09,65.08,65.09,8.6
2026-07-13 07:08:59,65.08,65.09,65.08,65.09,5.3
2026-07-13 07:09:59,65.09,65.11,65.08,65.08,23.0
2026-07-13 07:10:59,65.08,65.08,65.08,65.08,0.4
2026-07-13 07:11:59,65.09,65.1,65.09,65.1,31.3
2026-07-13 07:12:59,65.1,65.11,65.1,65.11,1.0
2026-07-13 07:13:59,65.12,65.12,65.11,65.11,12.5
