datetime,open,high,low,close,volume
2026-07-11 16:58:59,77.91,77.93,77.9,77.92,7940.03
2026-07-11 16:59:59,77.92,77.92,77.9,77.91,3252.86
2026-07-11 17:00:59,77.91,77.92,77.89,77.9,5266.03
2026-07-11 17:01:59,77.89,77.92,77.89,77.91,3274.26
2026-07-11 17:02:59,77.91,77.92,77.81,77.81,9909.41
2026-07-11 17:03:59,77.81,77.82,77.79,77.8,9605.68
2026-07-11 17:04:59,77.8,77.83,77.79,77.82,10193.31
2026-07-11 17:05:59,77.82,77.85,77.8,77.84,2139.6
2026-07-11 17:06:59,77.85,77.92,77.84,77.91,7126.89
2026-07-11 17:07:59,77.91,77.94,77.91,77.93,4316.69
2026-07-11 17:08:59,77.93,77.93,77.91,77.91,3701.93
2026-07-11 17:09:59,77.91,77.93,77.87,77.92,22550.53
2026-07-11 17:10:59,77.93,77.93,77.9,77.9,2447.33
2026-07-11 17:11:59,77.91,77.92,77.9,77.92,1943.96
2026-07-11 17:12:59,77.91,77.92,77.91,77.91,718.19
2026-07-11 17:13:59,77.91,77.92,77.88,77.92,4996.19
2026-07-11 17:14:59,77.91,77.92,77.88,77.88,1971.37
2026-07-11 17:15:59,77.88,77.91,77.87,77.91,4088.48
2026-07-11 17:16:59,77.91,77.91,77.9,77.9,928.4
2026-07-11 17:17:59,77.91,77.92,77.9,77.91,5123.93
2026-07-11 17:18:59,77.92,77.94,77.9,77.91,3806.03
2026-07-11 17:19:59,77.9,77.92,77.88,77.9,3674.63
2026-07-11 17:20:59,77.91,77.91,77.8,77.8,7731.9
2026-07-11 17:21:59,77.8,77.83,77.79,77.82,5516.31
2026-07-11 17:22:59,77.82,77.86,77.82,77.83,2780.99
2026-07-11 17:23:59,77.84,77.86,77.83,77.85,2097.92
2026-07-11 17:24:59,77.85,77.86,77.85,77.86,1460.74
2026-07-11 17:25:59,77.86,77.94,77.85,77.93,12381.1
2026-07-11 17:26:59,77.94,77.95,77.92,77.93,10032.72
2026-07-11 17:27:59,77.93,77.96,77.92,77.95,3727.29
2026-07-11 17:28:59,77.96,78.0,77.95,77.97,8160.84
2026-07-11 17:29:59,77.96,78.0,77.96,77.99,4515.93
2026-07-11 17:30:59,78.0,78.01,77.96,78.01,8548.49
2026-07-11 17:31:59,78.01,78.06,78.0,78.03,18564.72
2026-07-11 17:32:59,78.02,78.08,78.02,78.08,20122.92
2026-07-11 17:33:59,78.08,78.08,78.03,78.04,6103.75
2026-07-11 17:34:59,78.03,78.09,78.02,78.08,9879.98
2026-07-11 17:35:59,78.09,78.15,78.08,78.11,15658.81
2026-07-11 17:36:59,78.1,78.1,78.02,78.06,11311.38
2026-07-11 17:37:59,78.05,78.08,78.02,78.08,7883.23
2026-07-11 17:38:59,78.08,78.09,78.03,78.07,5988.32
2026-07-11 17:39:59,78.08,78.13,78.05,78.11,4606.93
