datetime,open,high,low,close,volume
2026-07-07 10:23:59,1.665,1.665,1.664,1.664,5020.91
2026-07-07 10:24:59,1.664,1.665,1.664,1.665,234.02
2026-07-07 10:25:59,1.665,1.666,1.664,1.665,7062.14
2026-07-07 10:26:59,1.665,1.666,1.665,1.665,5933.81
2026-07-07 10:27:59,1.665,1.666,1.665,1.665,9037.8
2026-07-07 10:28:59,1.666,1.666,1.665,1.665,1071.16
2026-07-07 10:29:59,1.665,1.666,1.665,1.665,2531.43
2026-07-07 10:30:59,1.665,1.665,1.662,1.663,18099.76
2026-07-07 10:31:59,1.663,1.664,1.663,1.663,4267.34
2026-07-07 10:32:59,1.663,1.664,1.662,1.664,5693.34
2026-07-07 10:33:59,1.664,1.665,1.663,1.665,3352.0
2026-07-07 10:34:59,1.665,1.665,1.663,1.664,10250.06
2026-07-07 10:35:59,1.664,1.665,1.664,1.665,2335.98
2026-07-07 10:36:59,1.664,1.665,1.664,1.664,6899.87
2026-07-07 10:37:59,1.665,1.665,1.664,1.665,4950.58
2026-07-07 10:38:59,1.664,1.665,1.664,1.664,1938.05
2026-07-07 10:39:59,1.665,1.665,1.664,1.665,2464.77
2026-07-07 10:40:59,1.665,1.665,1.664,1.665,1127.71
2026-07-07 10:41:59,1.665,1.665,1.664,1.665,987.22
2026-07-07 10:42:59,1.664,1.665,1.664,1.665,1198.69
2026-07-07 10:43:59,1.664,1.665,1.664,1.664,687.26
2026-07-07 10:44:59,1.665,1.665,1.664,1.664,1244.59
2026-07-07 10:45:59,1.665,1.665,1.663,1.663,5804.63
2026-07-07 10:46:59,1.664,1.665,1.663,1.664,9153.35
2026-07-07 10:47:59,1.665,1.665,1.663,1.664,2824.53
2026-07-07 10:48:59,1.663,1.665,1.663,1.665,8139.54
2026-07-07 10:49:59,1.665,1.665,1.663,1.664,4851.85
2026-07-07 10:50:59,1.664,1.664,1.662,1.662,3445.31
2026-07-07 10:51:59,1.663,1.663,1.662,1.663,420.67
2026-07-07 10:52:59,1.662,1.663,1.661,1.662,10180.04
2026-07-07 10:53:59,1.661,1.662,1.661,1.662,192.78
2026-07-07 10:54:59,1.661,1.662,1.661,1.661,2961.21
2026-07-07 10:55:59,1.662,1.662,1.66,1.661,24737.68
2026-07-07 10:56:59,1.66,1.661,1.66,1.66,8263.78
2026-07-07 10:57:59,1.661,1.661,1.66,1.66,649.25
2026-07-07 10:58:59,1.661,1.663,1.66,1.662,9372.88
2026-07-07 10:59:59,1.663,1.664,1.663,1.664,3758.63
2026-07-07 11:00:59,1.664,1.664,1.661,1.662,31420.61
2026-07-07 11:01:59,1.662,1.662,1.661,1.661,5002.0
2026-07-07 11:02:59,1.661,1.664,1.659,1.663,25746.24
2026-07-07 11:03:59,1.664,1.665,1.663,1.663,13408.56
2026-07-07 11:04:59,1.663,1.663,1.661,1.662,8967.66
2026-07-07 11:05:59,1.662,1.662,1.66,1.661,16930.17
2026-07-07 11:06:59,1.661,1.662,1.66,1.661,14709.52
2026-07-07 11:07:59,1.661,1.662,1.66,1.661,7060.68
2026-07-07 11:08:59,1.661,1.661,1.659,1.66,19429.84
2026-07-07 11:09:59,1.659,1.66,1.659,1.66,10842.17
2026-07-07 11:10:59,1.659,1.66,1.657,1.657,12564.23
2026-07-07 11:11:59,1.658,1.659,1.657,1.659,5081.81
2026-07-07 11:12:59,1.658,1.659,1.658,1.659,13728.31
2026-07-07 11:13:59,1.66,1.66,1.658,1.658,1917.52
2026-07-07 11:14:59,1.659,1.66,1.658,1.66,1593.13
2026-07-07 11:15:59,1.659,1.66,1.658,1.659,6508.56
2026-07-07 11:16:59,1.66,1.661,1.659,1.66,5468.77
2026-07-07 11:17:59,1.661,1.661,1.66,1.661,6103.0
2026-07-07 11:18:59,1.661,1.663,1.66,1.663,5626.64
2026-07-07 11:19:59,1.663,1.664,1.662,1.663,8603.29
2026-07-07 11:20:59,1.663,1.663,1.662,1.663,454.75
2026-07-07 11:21:59,1.663,1.663,1.662,1.662,1595.21
2026-07-07 11:22:59,1.663,1.663,1.661,1.662,16322.64
2026-07-07 11:23:59,1.663,1.663,1.661,1.662,12979.39
2026-07-07 11:24:59,1.662,1.662,1.661,1.661,11721.72
2026-07-07 11:25:59,1.662,1.663,1.662,1.663,5047.04
2026-07-07 11:26:59,1.663,1.664,1.661,1.661,5937.29
2026-07-07 11:27:59,1.661,1.662,1.66,1.661,3865.39
2026-07-07 11:28:59,1.661,1.662,1.66,1.66,2019.31
2026-07-07 11:29:59,1.661,1.661,1.66,1.66,912.12
2026-07-07 11:30:59,1.661,1.661,1.66,1.66,1202.3
2026-07-07 11:31:59,1.661,1.661,1.66,1.66,7657.84
2026-07-07 11:32:59,1.66,1.66,1.658,1.659,3342.32
2026-07-07 11:33:59,1.658,1.659,1.658,1.658,319.87
2026-07-07 11:34:59,1.659,1.659,1.658,1.658,793.71
2026-07-07 11:35:59,1.658,1.659,1.657,1.658,13630.62
2026-07-07 11:36:59,1.658,1.661,1.658,1.66,6773.37
2026-07-07 11:37:59,1.66,1.661,1.659,1.661,4980.84
2026-07-07 11:38:59,1.661,1.661,1.659,1.659,3646.01
2026-07-07 11:39:59,1.66,1.661,1.66,1.661,1031.47
2026-07-07 11:40:59,1.66,1.66,1.659,1.659,4799.34
2026-07-07 11:41:59,1.66,1.66,1.659,1.66,417.93
2026-07-07 11:42:59,1.66,1.66,1.659,1.66,525.6
2026-07-07 11:43:59,1.659,1.66,1.659,1.659,755.16
2026-07-07 11:44:59,1.66,1.662,1.66,1.662,10787.37
2026-07-07 11:45:59,1.661,1.662,1.661,1.662,26249.29
2026-07-07 11:46:59,1.662,1.662,1.659,1.662,22063.98
2026-07-07 11:47:59,1.661,1.661,1.659,1.66,8904.07
2026-07-07 11:48:59,1.66,1.661,1.659,1.661,1663.72
2026-07-07 11:49:59,1.66,1.662,1.659,1.662,22205.01
2026-07-07 11:50:59,1.662,1.663,1.662,1.663,3200.01
2026-07-07 11:51:59,1.663,1.663,1.661,1.662,5081.75
2026-07-07 11:52:59,1.661,1.662,1.66,1.661,1975.75
2026-07-07 11:53:59,1.662,1.663,1.66,1.663,22099.48
2026-07-07 11:54:59,1.662,1.663,1.662,1.663,9906.15
2026-07-07 11:55:59,1.664,1.665,1.664,1.664,5050.75
2026-07-07 11:56:59,1.664,1.665,1.663,1.665,3025.74
2026-07-07 11:57:59,1.664,1.665,1.663,1.665,4337.89
2026-07-07 11:58:59,1.666,1.666,1.664,1.665,12723.76
2026-07-07 11:59:59,1.665,1.666,1.665,1.665,2673.97
2026-07-07 12:00:59,1.665,1.666,1.665,1.666,3045.09
2026-07-07 12:01:59,1.666,1.666,1.664,1.664,13987.04
2026-07-07 12:02:59,1.665,1.667,1.664,1.667,8732.68
2026-07-07 12:03:59,1.666,1.668,1.666,1.667,19066.3
2026-07-07 12:04:59,1.667,1.668,1.666,1.667,3659.67
2026-07-07 12:05:59,1.667,1.669,1.667,1.668,36345.7
2026-07-07 12:06:59,1.668,1.672,1.668,1.672,32543.65
2026-07-07 12:07:59,1.672,1.672,1.67,1.671,8472.06
2026-07-07 12:08:59,1.672,1.673,1.67,1.671,17263.03
2026-07-07 12:09:59,1.671,1.672,1.67,1.671,14302.18
2026-07-07 12:10:59,1.671,1.671,1.668,1.669,27685.18
2026-07-07 12:11:59,1.669,1.67,1.669,1.67,12809.35
2026-07-07 12:12:59,1.669,1.671,1.669,1.669,21565.39
2026-07-07 12:13:59,1.67,1.671,1.669,1.67,4423.13
2026-07-07 12:14:59,1.67,1.672,1.669,1.672,32324.07
2026-07-07 12:15:59,1.671,1.672,1.67,1.671,11192.6
2026-07-07 12:16:59,1.671,1.671,1.668,1.67,16336.75
2026-07-07 12:17:59,1.67,1.67,1.668,1.668,4887.51
2026-07-07 12:18:59,1.669,1.67,1.668,1.668,11137.1
2026-07-07 12:19:59,1.668,1.669,1.668,1.668,3229.13
2026-07-07 12:20:59,1.668,1.668,1.667,1.668,4641.45
2026-07-07 12:21:59,1.667,1.669,1.666,1.668,13863.07
2026-07-07 12:22:59,1.668,1.668,1.667,1.668,1127.73
2026-07-07 12:23:59,1.668,1.67,1.668,1.669,6332.05
2026-07-07 12:24:59,1.669,1.67,1.668,1.669,4532.28
2026-07-07 12:25:59,1.67,1.67,1.667,1.668,4744.06
2026-07-07 12:26:59,1.667,1.667,1.666,1.667,3282.37
2026-07-07 12:27:59,1.666,1.668,1.666,1.668,8842.67
2026-07-07 12:28:59,1.668,1.669,1.667,1.669,2417.85
2026-07-07 12:29:59,1.669,1.669,1.668,1.669,1520.56
2026-07-07 12:30:59,1.668,1.669,1.667,1.668,36998.21
2026-07-07 12:31:59,1.668,1.668,1.665,1.666,15480.1
2026-07-07 12:32:59,1.667,1.667,1.664,1.665,11336.0
2026-07-07 12:33:59,1.665,1.666,1.664,1.664,4707.67
2026-07-07 12:34:59,1.665,1.665,1.662,1.663,19678.34
2026-07-07 12:35:59,1.663,1.664,1.66,1.661,28294.35
2026-07-07 12:36:59,1.66,1.661,1.658,1.661,63337.93
2026-07-07 12:37:59,1.661,1.661,1.66,1.66,2847.96
2026-07-07 12:38:59,1.66,1.662,1.66,1.661,8199.83
2026-07-07 12:39:59,1.662,1.662,1.66,1.661,1418.04
2026-07-07 12:40:59,1.66,1.662,1.66,1.661,8600.71
2026-07-07 12:41:59,1.662,1.662,1.66,1.661,1203.96
2026-07-07 12:42:59,1.661,1.662,1.66,1.662,5206.83
2026-07-07 12:43:59,1.662,1.663,1.661,1.663,4381.28
2026-07-07 12:44:59,1.662,1.664,1.662,1.663,12168.84
2026-07-07 12:45:59,1.663,1.664,1.661,1.661,7155.61
2026-07-07 12:46:59,1.661,1.662,1.66,1.661,15584.58
2026-07-07 12:47:59,1.662,1.662,1.659,1.66,16240.28
2026-07-07 12:48:59,1.66,1.661,1.659,1.659,4833.87
2026-07-07 12:49:59,1.659,1.66,1.659,1.659,5469.1
2026-07-07 12:50:59,1.659,1.661,1.659,1.66,5218.54
2026-07-07 12:51:59,1.661,1.661,1.66,1.66,838.91
2026-07-07 12:52:59,1.661,1.661,1.659,1.66,858.74
2026-07-07 12:53:59,1.66,1.661,1.66,1.661,6741.2
2026-07-07 12:54:59,1.66,1.662,1.66,1.661,36851.91
2026-07-07 12:55:59,1.661,1.662,1.661,1.661,7149.42
2026-07-07 12:56:59,1.662,1.663,1.659,1.659,29072.78
2026-07-07 12:57:59,1.66,1.661,1.66,1.661,3950.04
2026-07-07 12:58:59,1.66,1.66,1.659,1.66,2124.48
2026-07-07 12:59:59,1.659,1.66,1.659,1.659,451.87
2026-07-07 13:00:59,1.66,1.66,1.655,1.655,24774.0
2026-07-07 13:01:59,1.656,1.658,1.653,1.657,72409.87
2026-07-07 13:02:59,1.657,1.659,1.655,1.655,6524.53
2026-07-07 13:03:59,1.655,1.657,1.654,1.655,29742.95
2026-07-07 13:04:59,1.656,1.657,1.653,1.653,49963.11
2026-07-07 13:05:59,1.654,1.654,1.651,1.653,23234.92
2026-07-07 13:06:59,1.653,1.654,1.652,1.654,10302.84
2026-07-07 13:07:59,1.653,1.654,1.653,1.654,5555.47
2026-07-07 13:08:59,1.654,1.655,1.653,1.654,5417.75
2026-07-07 13:09:59,1.655,1.656,1.654,1.654,4594.52
