datetime,open,high,low,close,volume
2026-07-11 16:58:59,1.1119,1.1123,1.1119,1.1123,52604.7
2026-07-11 16:59:59,1.1123,1.1123,1.112,1.1121,27530.8
2026-07-11 17:00:59,1.1121,1.1123,1.1114,1.1118,93959.7
2026-07-11 17:01:59,1.1117,1.1118,1.1114,1.1116,32846.8
2026-07-11 17:02:59,1.1117,1.1117,1.111,1.111,90000.7
2026-07-11 17:03:59,1.111,1.1113,1.1107,1.1109,433924.8
2026-07-11 17:04:59,1.1109,1.111,1.1109,1.1109,33998.5
2026-07-11 17:05:59,1.111,1.1112,1.1109,1.1111,49000.7
2026-07-11 17:06:59,1.1111,1.1117,1.1111,1.1117,89853.0
2026-07-11 17:07:59,1.1116,1.1122,1.1116,1.1122,140289.5
2026-07-11 17:08:59,1.1121,1.1122,1.112,1.112,99708.3
2026-07-11 17:09:59,1.1121,1.1126,1.112,1.1126,135008.8
2026-07-11 17:10:59,1.1125,1.1126,1.1122,1.1123,76094.7
2026-07-11 17:11:59,1.1123,1.1129,1.1122,1.1128,140694.4
2026-07-11 17:12:59,1.1129,1.113,1.1126,1.1127,70817.0
2026-07-11 17:13:59,1.1126,1.1129,1.1125,1.1128,36786.4
2026-07-11 17:14:59,1.1129,1.1129,1.1125,1.1125,31825.8
2026-07-11 17:15:59,1.1125,1.1129,1.1123,1.1127,53033.0
2026-07-11 17:16:59,1.1127,1.113,1.1126,1.113,56444.2
2026-07-11 17:17:59,1.113,1.1131,1.1127,1.1129,54990.6
2026-07-11 17:18:59,1.1129,1.1132,1.1128,1.1128,54592.2
2026-07-11 17:19:59,1.1129,1.1129,1.1124,1.1124,26050.3
2026-07-11 17:20:59,1.1124,1.1125,1.1115,1.1118,312765.8
2026-07-11 17:21:59,1.1118,1.1124,1.1118,1.1124,58706.0
2026-07-11 17:22:59,1.1124,1.1127,1.1124,1.1126,12633.6
2026-07-11 17:23:59,1.1127,1.1127,1.1126,1.1127,6394.0
2026-07-11 17:24:59,1.1127,1.1129,1.1127,1.1128,21369.9
2026-07-11 17:25:59,1.1128,1.1136,1.1128,1.1135,169257.4
2026-07-11 17:26:59,1.1136,1.1136,1.1135,1.1136,48862.8
2026-07-11 17:27:59,1.1135,1.1144,1.1134,1.1143,384780.4
2026-07-11 17:28:59,1.1142,1.1146,1.1142,1.1143,162884.8
2026-07-11 17:29:59,1.1143,1.1145,1.1143,1.1145,58295.3
2026-07-11 17:30:59,1.1144,1.1145,1.1142,1.1142,190420.5
2026-07-11 17:31:59,1.1142,1.115,1.1142,1.1147,246025.2
2026-07-11 17:32:59,1.1148,1.1151,1.1142,1.1144,108138.8
2026-07-11 17:33:59,1.1144,1.1146,1.114,1.114,139227.2
2026-07-11 17:34:59,1.1141,1.1146,1.1138,1.1143,135794.8
2026-07-11 17:35:59,1.1144,1.1148,1.1142,1.1142,87859.0
2026-07-11 17:36:59,1.1142,1.1142,1.1136,1.1138,122281.1
2026-07-11 17:37:59,1.1138,1.1138,1.1135,1.1138,65680.5
2026-07-11 17:38:59,1.1137,1.1142,1.1135,1.1142,179657.6
2026-07-11 17:39:59,1.1141,1.1151,1.1141,1.1151,128770.9
2026-07-11 17:40:59,1.1151,1.1157,1.1151,1.1155,269002.7
2026-07-11 17:41:59,1.1156,1.1156,1.1151,1.1155,392474.2
2026-07-11 17:42:59,1.1155,1.1163,1.1154,1.1158,506405.8
2026-07-11 17:43:59,1.1159,1.116,1.1158,1.116,68374.8
2026-07-11 17:44:59,1.116,1.1162,1.1159,1.1161,137583.0
2026-07-11 17:45:59,1.1161,1.1165,1.116,1.116,282352.7
2026-07-11 17:46:59,1.116,1.116,1.1155,1.1155,73504.7
2026-07-11 17:47:59,1.1155,1.1155,1.1149,1.1149,62581.5
2026-07-11 17:48:59,1.115,1.1152,1.1149,1.1152,140427.9
2026-07-11 17:49:59,1.1152,1.1153,1.115,1.1152,259592.6
2026-07-11 17:50:59,1.1151,1.1152,1.1148,1.1149,120436.2
2026-07-11 17:51:59,1.1149,1.1151,1.1148,1.1149,28155.9
2026-07-11 17:52:59,1.115,1.1152,1.1149,1.1152,186825.7
2026-07-11 17:53:59,1.1151,1.1152,1.1149,1.1149,68239.4
2026-07-11 17:54:59,1.1149,1.1152,1.1149,1.1151,54701.4
2026-07-11 17:55:59,1.1151,1.1152,1.1149,1.1149,36769.2
2026-07-11 17:56:59,1.115,1.115,1.1149,1.1149,10068.8
2026-07-11 17:57:59,1.115,1.115,1.1144,1.1144,72090.9
2026-07-11 17:58:59,1.1144,1.1145,1.1141,1.1142,173683.6
2026-07-11 17:59:59,1.1143,1.1144,1.114,1.1142,147125.4
2026-07-11 18:00:59,1.1142,1.1144,1.1136,1.1137,359013.8
2026-07-11 18:01:59,1.1138,1.1141,1.1138,1.1138,69172.7
2026-07-11 18:02:59,1.1138,1.1139,1.1133,1.1134,83450.9
2026-07-11 18:03:59,1.1134,1.1137,1.1133,1.1134,67202.7
2026-07-11 18:04:59,1.1134,1.1138,1.1133,1.1137,40809.8
2026-07-11 18:05:59,1.1136,1.1143,1.1136,1.1142,365054.2
2026-07-11 18:06:59,1.1142,1.1142,1.1136,1.1137,84033.7
2026-07-11 18:07:59,1.1138,1.1143,1.1136,1.1137,137125.1
2026-07-11 18:08:59,1.1137,1.1141,1.1136,1.1141,37501.0
2026-07-11 18:09:59,1.114,1.1143,1.114,1.1142,52122.2
2026-07-11 18:10:59,1.1143,1.1143,1.1141,1.1141,41077.4
2026-07-11 18:11:59,1.1141,1.1145,1.1141,1.1144,95360.7
2026-07-11 18:12:59,1.1144,1.1145,1.1143,1.1144,67386.8
2026-07-11 18:13:59,1.1145,1.1145,1.1143,1.1143,54020.9
2026-07-11 18:14:59,1.1143,1.1147,1.1141,1.1141,198674.6
2026-07-11 18:15:59,1.1141,1.1147,1.114,1.1146,174602.4
2026-07-11 18:16:59,1.1146,1.1148,1.1146,1.1148,52364.8
2026-07-11 18:17:59,1.1148,1.115,1.1147,1.1147,144760.3
2026-07-11 18:18:59,1.1148,1.1148,1.1142,1.1145,55082.4
2026-07-11 18:19:59,1.1146,1.115,1.1145,1.115,64776.6
2026-07-11 18:20:59,1.1149,1.1152,1.1149,1.1152,32822.9
2026-07-11 18:21:59,1.1151,1.1163,1.1151,1.1157,543401.1
2026-07-11 18:22:59,1.1157,1.116,1.1153,1.1153,67726.1
2026-07-11 18:23:59,1.1154,1.1157,1.1153,1.1157,108923.4
2026-07-11 18:24:59,1.1157,1.116,1.1157,1.116,19488.5
2026-07-11 18:25:59,1.1159,1.1162,1.1156,1.1161,37403.0
2026-07-11 18:26:59,1.1161,1.1162,1.1158,1.1158,67011.3
2026-07-11 18:27:59,1.1158,1.1163,1.1158,1.1161,170338.6
2026-07-11 18:28:59,1.1161,1.1164,1.116,1.116,74296.9
2026-07-11 18:29:59,1.116,1.1161,1.1159,1.1161,62073.0
2026-07-11 18:30:59,1.1161,1.1162,1.116,1.116,108208.9
2026-07-11 18:31:59,1.1161,1.1163,1.1159,1.1159,53814.3
2026-07-11 18:32:59,1.116,1.1163,1.1159,1.1163,40345.9
2026-07-11 18:33:59,1.1163,1.1164,1.1161,1.1163,196723.2
2026-07-11 18:34:59,1.1164,1.1168,1.1163,1.1167,240228.3
2026-07-11 18:35:59,1.1167,1.1171,1.1167,1.117,75003.5
2026-07-11 18:36:59,1.1171,1.1172,1.1168,1.1169,243975.2
2026-07-11 18:37:59,1.1168,1.1177,1.1168,1.1175,499829.4
2026-07-11 18:38:59,1.1176,1.1176,1.117,1.1171,64257.4
2026-07-11 18:39:59,1.117,1.1171,1.117,1.1171,39682.7
2026-07-11 18:40:59,1.1171,1.1171,1.1167,1.1168,74489.0
2026-07-11 18:41:59,1.1167,1.1168,1.1166,1.1166,71415.5
2026-07-11 18:42:59,1.1167,1.1174,1.1166,1.1167,309132.3
2026-07-11 18:43:59,1.1166,1.1169,1.1166,1.1169,52068.3
2026-07-11 18:44:59,1.1169,1.1169,1.1168,1.1168,19253.1
2026-07-11 18:45:59,1.1168,1.1169,1.1165,1.1165,76079.1
2026-07-11 18:46:59,1.1166,1.1166,1.1165,1.1165,10137.1
2026-07-11 18:47:59,1.1165,1.117,1.1163,1.117,249753.1
2026-07-11 18:48:59,1.117,1.1171,1.1168,1.1171,94248.4
2026-07-11 18:49:59,1.1171,1.1171,1.117,1.1171,36890.3
2026-07-11 18:50:59,1.1171,1.1171,1.117,1.117,33067.2
2026-07-11 18:51:59,1.117,1.1172,1.1166,1.1166,148390.2
2026-07-11 18:52:59,1.1166,1.1168,1.1165,1.1167,89167.0
2026-07-11 18:53:59,1.1167,1.1169,1.1167,1.1168,40539.4
2026-07-11 18:54:59,1.1168,1.1169,1.1167,1.1168,42813.8
2026-07-11 18:55:59,1.1167,1.1168,1.1167,1.1168,45449.0
2026-07-11 18:56:59,1.1167,1.1168,1.1167,1.1167,14712.8
2026-07-11 18:57:59,1.1167,1.1168,1.1166,1.1167,69650.3
2026-07-11 18:58:59,1.1167,1.1171,1.1164,1.1164,183360.1
2026-07-11 18:59:59,1.1165,1.1165,1.1164,1.1164,36636.4
2026-07-11 19:00:59,1.1164,1.1168,1.1164,1.1167,111838.3
2026-07-11 19:01:59,1.1167,1.117,1.1166,1.117,48325.6
2026-07-11 19:02:59,1.1171,1.1171,1.117,1.117,30654.7
2026-07-11 19:03:59,1.1171,1.1171,1.1165,1.1165,190715.3
2026-07-11 19:04:59,1.1165,1.1168,1.1164,1.1166,128760.9
2026-07-11 19:05:59,1.1166,1.1166,1.1163,1.1163,44381.3
2026-07-11 19:06:59,1.1163,1.1166,1.1163,1.1165,118847.3
2026-07-11 19:07:59,1.1165,1.117,1.1165,1.1169,83599.0
2026-07-11 19:08:59,1.1169,1.1172,1.1169,1.1172,45215.1
2026-07-11 19:09:59,1.1172,1.1175,1.1171,1.1175,133597.8
2026-07-11 19:10:59,1.1174,1.1176,1.1173,1.1175,115417.0
2026-07-11 19:11:59,1.1176,1.1176,1.1174,1.1175,37301.1
2026-07-11 19:12:59,1.1174,1.1187,1.1174,1.1187,875259.0
2026-07-11 19:13:59,1.1187,1.1188,1.1185,1.1186,289114.0
2026-07-11 19:14:59,1.1185,1.1186,1.1179,1.118,368126.8
2026-07-11 19:15:59,1.1179,1.118,1.1177,1.1177,94230.6
2026-07-11 19:16:59,1.1178,1.1178,1.1177,1.1178,49341.8
2026-07-11 19:17:59,1.1178,1.1183,1.1177,1.1182,138932.8
2026-07-11 19:18:59,1.1182,1.1183,1.118,1.1183,91720.5
2026-07-11 19:19:59,1.1183,1.1186,1.1182,1.1185,184966.5
2026-07-11 19:20:59,1.1185,1.1185,1.1174,1.1175,151264.3
2026-07-11 19:21:59,1.1174,1.1174,1.1172,1.1173,151187.2
2026-07-11 19:22:59,1.1173,1.1175,1.1171,1.1172,101942.0
2026-07-11 19:23:59,1.1172,1.1174,1.1171,1.1174,93544.1
2026-07-11 19:24:59,1.1173,1.1174,1.1167,1.1168,350557.4
2026-07-11 19:25:59,1.1167,1.1168,1.1166,1.1166,44417.1
2026-07-11 19:26:59,1.1166,1.1167,1.1159,1.116,343359.9
2026-07-11 19:27:59,1.116,1.116,1.1151,1.1152,445972.2
2026-07-11 19:28:59,1.1152,1.1153,1.1148,1.1148,442124.2
2026-07-11 19:29:59,1.1147,1.1149,1.1146,1.1147,87846.6
2026-07-11 19:30:59,1.1146,1.1149,1.1141,1.1142,295413.5
2026-07-11 19:31:59,1.1142,1.1146,1.1142,1.1145,200296.4
2026-07-11 19:32:59,1.1146,1.1146,1.1143,1.1144,33147.1
2026-07-11 19:33:59,1.1143,1.1144,1.1136,1.1137,225924.2
2026-07-11 19:34:59,1.1137,1.1146,1.1137,1.1145,126789.7
2026-07-11 19:35:59,1.1145,1.1146,1.1143,1.1146,52409.4
2026-07-11 19:36:59,1.1146,1.1152,1.1145,1.1152,177700.1
2026-07-11 19:37:59,1.1151,1.1153,1.1147,1.1147,64880.2
2026-07-11 19:38:59,1.1147,1.1151,1.1147,1.1147,154829.6
2026-07-11 19:39:59,1.1148,1.115,1.1147,1.1149,58234.2
2026-07-11 19:40:59,1.1148,1.115,1.1143,1.1146,473909.0
2026-07-11 19:41:59,1.1147,1.1147,1.1143,1.1143,86961.5
2026-07-11 19:42:59,1.1143,1.1143,1.1142,1.1143,56304.8
2026-07-11 19:43:59,1.1142,1.1143,1.1141,1.1141,69407.6
2026-07-11 19:44:59,1.1141,1.1144,1.114,1.1144,377975.2
2026-07-11 19:45:59,1.1144,1.1148,1.1143,1.1146,112111.2
2026-07-11 19:46:59,1.1146,1.1147,1.1145,1.1145,51131.9
