datetime,open,high,low,close,volume
2026-07-07 10:23:59,455.29,455.35,455.0,455.06,451.873
2026-07-07 10:24:59,455.05,455.13,454.87,454.98,523.434
2026-07-07 10:25:59,454.95,455.25,454.89,455.21,378.541
2026-07-07 10:26:59,455.21,455.74,455.21,455.74,350.788
2026-07-07 10:27:59,455.74,455.85,455.32,455.32,245.115
2026-07-07 10:28:59,455.32,455.35,455.0,455.0,258.196
2026-07-07 10:29:59,455.0,455.11,454.2,454.23,478.668
2026-07-07 10:30:59,454.23,454.41,453.4,453.62,1759.423
2026-07-07 10:31:59,453.6,453.74,453.55,453.63,842.171
2026-07-07 10:32:59,453.63,454.15,453.47,454.15,793.632
2026-07-07 10:33:59,454.15,454.52,454.08,454.37,252.221
2026-07-07 10:34:59,454.38,454.5,453.82,454.0,216.719
2026-07-07 10:35:59,454.0,454.21,453.76,453.94,174.706
2026-07-07 10:36:59,453.94,454.14,453.78,454.09,642.293
2026-07-07 10:37:59,454.09,454.58,454.08,454.5,257.26
2026-07-07 10:38:59,454.5,454.86,454.5,454.69,185.844
2026-07-07 10:39:59,454.69,454.76,454.53,454.53,129.076
2026-07-07 10:40:59,454.52,454.73,454.28,454.73,141.251
2026-07-07 10:41:59,454.73,454.77,454.6,454.69,163.377
2026-07-07 10:42:59,454.69,454.69,454.37,454.51,87.848
2026-07-07 10:43:59,454.51,454.9,454.51,454.53,358.234
2026-07-07 10:44:59,454.52,454.57,454.08,454.23,174.409
2026-07-07 10:45:59,454.23,454.28,453.71,454.27,664.821
2026-07-07 10:46:59,454.27,454.53,454.27,454.46,119.321
2026-07-07 10:47:59,454.46,454.47,454.14,454.38,245.943
2026-07-07 10:48:59,454.38,455.38,454.38,455.38,392.417
2026-07-07 10:49:59,455.37,455.41,453.68,453.81,597.448
2026-07-07 10:50:59,453.8,454.38,453.8,454.35,504.166
2026-07-07 10:51:59,454.35,454.58,454.28,454.48,75.414
2026-07-07 10:52:59,454.48,454.48,454.05,454.26,208.712
2026-07-07 10:53:59,454.26,454.51,454.26,454.41,64.044
2026-07-07 10:54:59,454.41,454.88,454.4,454.72,194.708
2026-07-07 10:55:59,454.72,454.8,454.37,454.64,125.054
2026-07-07 10:56:59,454.65,454.65,454.22,454.23,123.402
2026-07-07 10:57:59,454.23,454.55,454.21,454.55,96.931
2026-07-07 10:58:59,454.56,454.7,454.48,454.6,108.612
2026-07-07 10:59:59,454.6,454.65,454.32,454.34,275.725
2026-07-07 11:00:59,454.35,454.37,453.12,453.19,1098.617
2026-07-07 11:01:59,453.19,453.99,453.19,453.82,337.74
2026-07-07 11:02:59,453.82,453.83,452.33,453.2,1699.581
2026-07-07 11:03:59,453.19,453.55,453.16,453.25,286.084
2026-07-07 11:04:59,453.24,453.48,452.0,452.65,3372.957
2026-07-07 11:05:59,452.65,452.85,452.29,452.54,454.463
2026-07-07 11:06:59,452.54,452.75,452.47,452.73,173.726
2026-07-07 11:07:59,452.74,453.05,452.72,452.83,182.512
2026-07-07 11:08:59,452.81,453.0,452.32,452.35,237.035
2026-07-07 11:09:59,452.35,452.62,452.1,452.34,619.74
2026-07-07 11:10:59,452.34,452.5,451.94,452.2,348.279
2026-07-07 11:11:59,452.2,452.7,452.08,452.68,254.631
2026-07-07 11:12:59,452.68,452.89,452.61,452.89,104.476
2026-07-07 11:13:59,452.89,453.11,452.84,453.09,161.24
2026-07-07 11:14:59,453.1,453.96,453.09,453.87,955.804
2026-07-07 11:15:59,453.87,454.0,453.5,453.94,598.679
2026-07-07 11:16:59,453.95,454.44,453.95,454.31,394.312
2026-07-07 11:17:59,454.3,454.34,453.92,453.98,189.03
2026-07-07 11:18:59,453.99,454.28,453.94,454.19,385.533
2026-07-07 11:19:59,454.19,454.22,453.65,453.65,148.646
2026-07-07 11:20:59,453.65,453.86,453.63,453.83,148.298
2026-07-07 11:21:59,453.83,454.39,453.78,454.17,989.607
2026-07-07 11:22:59,454.17,454.71,454.03,454.44,275.312
2026-07-07 11:23:59,454.43,454.77,454.11,454.74,260.233
2026-07-07 11:24:59,454.73,454.98,454.64,454.65,407.111
2026-07-07 11:25:59,454.64,455.64,454.59,455.59,943.918
2026-07-07 11:26:59,455.59,455.72,455.1,455.51,1053.376
2026-07-07 11:27:59,455.51,455.57,455.0,455.04,388.964
2026-07-07 11:28:59,455.04,455.28,454.84,455.28,254.874
2026-07-07 11:29:59,455.27,455.28,454.76,455.17,354.106
2026-07-07 11:30:59,455.17,455.29,454.93,455.14,256.555
2026-07-07 11:31:59,455.14,455.54,454.95,455.06,457.671
2026-07-07 11:32:59,455.06,455.17,454.38,454.65,1334.641
2026-07-07 11:33:59,454.65,455.22,454.62,455.11,358.074
2026-07-07 11:34:59,455.12,455.4,454.96,455.0,153.338
2026-07-07 11:35:59,454.99,455.34,454.76,455.3,383.804
2026-07-07 11:36:59,455.32,455.74,455.12,455.72,722.671
2026-07-07 11:37:59,455.69,455.78,455.1,455.67,485.191
2026-07-07 11:38:59,455.66,456.5,455.48,455.48,1206.649
2026-07-07 11:39:59,455.47,455.61,454.73,455.36,1268.709
2026-07-07 11:40:59,455.36,455.39,454.65,454.75,538.884
2026-07-07 11:41:59,454.76,455.01,454.76,454.95,152.776
2026-07-07 11:42:59,454.96,455.16,454.76,455.15,318.991
2026-07-07 11:43:59,455.15,455.67,455.15,455.54,172.499
2026-07-07 11:44:59,455.55,455.98,455.55,455.85,308.249
2026-07-07 11:45:59,455.85,456.43,455.84,456.01,812.692
2026-07-07 11:46:59,456.0,456.52,455.93,456.36,488.017
2026-07-07 11:47:59,456.37,456.5,456.05,456.47,408.566
2026-07-07 11:48:59,456.47,457.15,456.37,457.03,2038.032
2026-07-07 11:49:59,457.03,458.0,457.03,457.96,1634.398
2026-07-07 11:50:59,457.96,458.36,457.88,458.24,1220.128
2026-07-07 11:51:59,458.24,458.58,457.61,457.72,1612.11
2026-07-07 11:52:59,457.73,457.96,457.3,457.86,614.296
2026-07-07 11:53:59,457.86,458.13,457.73,457.76,777.79
2026-07-07 11:54:59,457.77,458.06,457.67,457.92,938.097
2026-07-07 11:55:59,457.92,458.35,457.92,458.18,1145.382
2026-07-07 11:56:59,458.18,458.64,458.07,458.53,764.907
2026-07-07 11:57:59,458.54,458.54,457.91,458.06,788.192
2026-07-07 11:58:59,458.06,458.3,458.04,458.17,507.987
2026-07-07 11:59:59,458.16,459.0,458.03,458.79,2046.295
2026-07-07 12:00:59,458.79,463.89,458.76,461.33,15810.634
2026-07-07 12:01:59,461.33,461.64,457.87,458.19,12838.684
2026-07-07 12:02:59,458.18,458.71,457.8,458.71,1975.363
2026-07-07 12:03:59,458.71,458.76,458.24,458.41,903.58
2026-07-07 12:04:59,458.43,459.0,458.36,458.86,944.238
2026-07-07 12:05:59,458.86,459.17,458.59,459.02,1669.281
2026-07-07 12:06:59,459.01,460.88,458.83,460.47,11909.359
2026-07-07 12:07:59,460.48,460.56,459.87,460.12,1371.009
2026-07-07 12:08:59,460.12,460.5,459.8,460.21,1306.701
2026-07-07 12:09:59,460.2,460.66,460.1,460.53,1450.858
2026-07-07 12:10:59,460.54,460.6,459.67,459.92,1105.272
2026-07-07 12:11:59,459.93,460.1,459.59,459.81,822.652
2026-07-07 12:12:59,459.81,460.38,459.81,460.13,1062.68
2026-07-07 12:13:59,460.12,460.77,459.97,460.64,411.57
2026-07-07 12:14:59,460.64,460.97,460.3,460.53,795.628
