datetime,open,high,low,close,volume
2025-07-16 07:59:59,4.685,4.713,4.669,4.688,288913.83
2025-07-16 08:59:59,4.688,4.696,4.677,4.685,239840.57
2025-07-16 09:59:59,4.686,4.699,4.655,4.67,266406.12
2025-07-16 10:59:59,4.67,4.675,4.642,4.644,388618.05
2025-07-16 11:59:59,4.643,4.656,4.635,4.651,246304.67
2025-07-16 12:59:59,4.651,4.666,4.632,4.639,382768.17
2025-07-16 13:59:59,4.639,4.661,4.623,4.642,418801.64
2025-07-16 14:59:59,4.641,4.701,4.62,4.688,633898.26
2025-07-16 15:59:59,4.69,4.715,4.641,4.68,840326.29
2025-07-16 16:59:59,4.679,4.744,4.661,4.744,684477.24
2025-07-16 17:59:59,4.743,4.764,4.728,4.759,507534.35
2025-07-16 18:59:59,4.758,4.795,4.755,4.767,606619.11
2025-07-16 19:59:59,4.768,4.775,4.738,4.763,572899.38
2025-07-16 20:59:59,4.764,4.844,4.764,4.82,719062.82
2025-07-16 21:59:59,4.821,4.873,4.806,4.859,577556.55
2025-07-16 22:59:59,4.86,4.88,4.762,4.781,647707.69
2025-07-16 23:59:59,4.782,4.787,4.722,4.746,504135.32
2025-07-17 00:59:59,4.744,4.806,4.735,4.748,282690.86
2025-07-17 01:59:59,4.748,4.765,4.633,4.678,730998.28
2025-07-17 02:59:59,4.677,4.723,4.672,4.718,359367.96
2025-07-17 03:59:59,4.719,4.72,4.636,4.667,367661.21
2025-07-17 04:59:59,4.666,4.711,4.658,4.711,220179.89
2025-07-17 05:59:59,4.711,4.748,4.688,4.747,398605.86
2025-07-17 06:59:59,4.746,4.79,4.723,4.76,452696.09
2025-07-17 07:59:59,4.759,4.767,4.707,4.754,431355.2
2025-07-17 08:59:59,4.754,4.781,4.747,4.781,371797.88
2025-07-17 09:59:59,4.78,4.833,4.768,4.815,803292.53
2025-07-17 10:59:59,4.814,4.825,4.775,4.783,532439.58
2025-07-17 11:59:59,4.784,4.804,4.753,4.776,445996.26
2025-07-17 12:59:59,4.777,4.811,4.735,4.791,660525.21
2025-07-17 13:59:59,4.791,4.811,4.701,4.786,905881.67
2025-07-17 14:59:59,4.785,4.846,4.776,4.813,586012.61
2025-07-17 15:59:59,4.813,4.833,4.753,4.817,553808.11
2025-07-17 16:59:59,4.816,4.821,4.713,4.754,941131.51
2025-07-17 17:59:59,4.754,4.808,4.738,4.807,484833.71
2025-07-17 18:59:59,4.807,4.827,4.791,4.822,423936.89
2025-07-17 19:59:59,4.823,4.846,4.746,4.751,522238.35
2025-07-17 20:59:59,4.749,4.766,4.686,4.746,981855.83
2025-07-17 21:59:59,4.746,4.853,4.743,4.818,737683.75
2025-07-17 22:59:59,4.817,4.893,4.808,4.869,600736.94
2025-07-17 23:59:59,4.869,4.903,4.838,4.856,597795.45
2025-07-18 00:59:59,4.857,4.929,4.826,4.927,532346.86
2025-07-18 01:59:59,4.926,4.997,4.916,4.989,1054699.28
2025-07-18 02:59:59,4.989,4.993,4.943,4.982,472772.81
2025-07-18 03:59:59,4.981,5.02,4.964,5.015,541052.0
2025-07-18 04:59:59,5.015,5.091,4.983,5.089,575463.69
2025-07-18 05:59:59,5.09,5.156,5.084,5.146,1019292.75
2025-07-18 06:59:59,5.146,5.148,5.077,5.124,594846.5
2025-07-18 07:59:59,5.124,5.16,5.034,5.039,815155.12
2025-07-18 08:59:59,5.04,5.122,5.025,5.071,1280947.25
2025-07-18 09:59:59,5.069,5.1,5.036,5.085,632675.46
2025-07-18 10:59:59,5.085,5.087,4.998,5.085,666273.96
2025-07-18 11:59:59,5.085,5.102,5.006,5.045,527215.38
2025-07-18 12:59:59,5.044,5.116,5.031,5.116,468874.79
2025-07-18 13:59:59,5.117,5.121,5.054,5.082,550824.66
2025-07-18 14:59:59,5.082,5.134,4.962,5.011,1210582.79
2025-07-18 15:59:59,5.011,5.022,4.903,4.949,1190776.25
2025-07-18 16:59:59,4.949,5.019,4.932,4.981,553335.23
2025-07-18 17:59:59,4.982,5.012,4.957,4.986,403854.33
2025-07-18 18:59:59,4.986,4.987,4.905,4.912,308080.22
2025-07-18 19:59:59,4.912,4.943,4.871,4.911,603896.14
2025-07-18 20:59:59,4.911,4.92,4.78,4.851,1399717.82
