datetime,open,high,low,close,volume
2024-07-16 00:59:59,585.1,587.57,579.88,583.02,50084.43
2024-07-16 01:59:59,583.01,583.72,580.07,583.02,16773.19
2024-07-16 02:59:59,583.02,583.02,577.47,579.41,21844.7
2024-07-16 03:59:59,579.39,580.07,577.6,579.47,15144.73
2024-07-16 04:59:59,579.48,580.65,576.32,577.1,19356.33
2024-07-16 05:59:59,577.1,578.73,567.82,569.9,65778.3
2024-07-16 06:59:59,569.9,573.59,562.27,563.86,60008.8
2024-07-16 07:59:59,563.85,568.75,561.27,562.43,50613.2
2024-07-16 08:59:59,562.42,565.24,554.65,562.2,85248.15
2024-07-16 09:59:59,562.2,567.74,560.72,566.84,40659.9
2024-07-16 10:59:59,566.82,569.72,565.89,568.68,26373.53
2024-07-16 11:59:59,568.68,571.74,566.43,570.72,25291.47
2024-07-16 12:59:59,570.73,574.25,567.55,568.48,37277.83
2024-07-16 13:59:59,568.48,571.49,565.8,567.08,31763.28
2024-07-16 14:59:59,567.08,569.77,565.2,568.94,32028.07
2024-07-16 15:59:59,568.95,578.3,568.42,576.73,50883.87
2024-07-16 16:59:59,576.73,578.95,571.61,576.88,60542.43
2024-07-16 17:59:59,576.89,577.59,573.86,576.21,17229.42
2024-07-16 18:59:59,576.21,578.13,573.81,576.54,18162.93
2024-07-16 19:59:59,576.55,578.88,575.42,578.03,17101.02
2024-07-16 20:59:59,578.04,578.29,574.5,574.6,10129.83
2024-07-16 21:59:59,574.63,575.88,573.63,574.37,9045.02
2024-07-16 22:59:59,574.37,575.12,569.59,572.45,30553.57
2024-07-16 23:59:59,572.45,577.23,572.22,576.05,15273.68
2024-07-17 00:59:59,576.05,579.71,575.73,578.74,18206.09
2024-07-17 01:59:59,578.74,584.02,578.63,581.54,34507.8
2024-07-17 02:59:59,581.54,582.47,578.93,579.29,13783.48
2024-07-17 03:59:59,579.29,580.6,577.06,579.24,17200.58
2024-07-17 04:59:59,579.2,581.62,578.79,581.48,13149.05
2024-07-17 05:59:59,581.47,582.55,580.56,580.58,11941.48
2024-07-17 06:59:59,580.57,583.63,580.3,582.71,16000.32
2024-07-17 07:59:59,582.72,582.83,578.6,579.84,24452.06
2024-07-17 08:59:59,579.85,580.98,575.08,578.82,31141.68
2024-07-17 09:59:59,578.81,581.99,577.81,581.74,16840.53
2024-07-17 10:59:59,581.75,581.8,579.2,579.54,12910.82
2024-07-17 11:59:59,579.55,579.78,574.03,575.47,35602.65
2024-07-17 12:59:59,575.52,577.78,574.19,576.1,18597.03
2024-07-17 13:59:59,576.09,579.06,572.66,578.14,29701.02
2024-07-17 14:59:59,578.12,578.54,574.37,575.84,23128.48
2024-07-17 15:59:59,575.84,578.22,572.24,572.66,23188.99
2024-07-17 16:59:59,572.66,573.4,564.12,569.87,70827.97
2024-07-17 17:59:59,569.87,571.14,567.5,569.68,20001.01
2024-07-17 18:59:59,569.68,573.0,569.37,572.41,9775.5
2024-07-17 19:59:59,572.41,573.66,571.61,572.06,8601.68
2024-07-17 20:59:59,572.05,573.72,571.3,571.43,5336.19
2024-07-17 21:59:59,571.43,571.58,568.24,570.23,14641.35
2024-07-17 22:59:59,570.24,571.02,567.77,569.07,9334.23
2024-07-17 23:59:59,569.07,570.72,567.98,568.79,11680.95
2024-07-18 00:59:59,568.8,574.36,568.68,573.51,19956.43
2024-07-18 01:59:59,573.5,574.85,572.88,574.84,12347.45
2024-07-18 02:59:59,574.84,576.85,570.52,573.33,23977.37
2024-07-18 03:59:59,573.32,574.76,572.8,574.05,7179.99
2024-07-18 04:59:59,574.04,574.39,571.5,571.87,7912.38
2024-07-18 05:59:59,571.87,574.37,569.3,573.67,13952.24
2024-07-18 06:59:59,573.67,576.13,572.82,575.69,13392.83
2024-07-18 07:59:59,575.74,576.14,572.13,572.28,12597.55
2024-07-18 08:59:59,572.29,574.26,570.45,574.08,15435.56
2024-07-18 09:59:59,574.07,575.07,572.8,574.29,10447.96
2024-07-18 10:59:59,574.29,574.42,571.6,573.82,11757.17
2024-07-18 11:59:59,573.81,574.3,572.67,574.1,9547.35
2024-07-18 12:59:59,574.1,576.99,574.0,576.69,18389.77
2024-07-18 13:59:59,576.68,579.6,574.14,574.8,29121.72
2024-07-18 14:59:59,574.81,575.9,567.3,570.45,41530.19
2024-07-18 15:59:59,570.43,570.7,564.97,565.59,44893.62
2024-07-18 16:59:59,565.58,571.87,561.46,571.1,59033.62
2024-07-18 17:59:59,571.11,571.51,567.57,568.0,20171.14
2024-07-18 18:59:59,568.01,568.28,565.51,567.15,15570.63
2024-07-18 19:59:59,567.15,568.88,565.1,567.93,13528.57
2024-07-18 20:59:59,567.93,570.65,567.03,570.51,8509.0
2024-07-18 21:59:59,570.51,570.88,569.8,570.62,7239.57
2024-07-18 22:59:59,570.63,572.93,570.03,572.42,12260.3
2024-07-18 23:59:59,572.41,573.29,571.75,571.96,6814.95
2024-07-19 00:59:59,571.96,572.66,568.24,569.01,15606.22
2024-07-19 01:59:59,569.01,571.41,565.0,571.25,24101.42
2024-07-19 02:59:59,571.25,572.09,567.52,568.62,13606.24
2024-07-19 03:59:59,568.62,573.5,568.38,572.87,15086.86
2024-07-19 04:59:59,572.87,573.76,571.39,571.5,10012.34
2024-07-19 05:59:59,571.51,573.1,571.3,572.38,7596.22
2024-07-19 06:59:59,572.37,575.0,572.27,573.29,17658.99
2024-07-19 07:59:59,573.29,573.43,567.6,568.61,34723.81
2024-07-19 08:59:59,568.58,571.84,566.14,570.49,28417.89
2024-07-19 09:59:59,570.49,573.03,568.67,569.04,27042.51
2024-07-19 10:59:59,569.04,571.84,568.55,570.34,13765.67
2024-07-19 11:59:59,570.34,573.74,570.27,573.67,15770.62
2024-07-19 12:59:59,573.67,576.72,572.55,576.19,17556.45
2024-07-19 13:59:59,576.18,579.74,573.85,579.24,56044.75
2024-07-19 14:59:59,579.24,583.14,577.95,582.77,53129.32
