datetime,open,high,low,close,volume
2025-07-16 07:59:59,50.07,50.69,49.9,50.56,19991.215
2025-07-16 08:59:59,50.57,50.57,49.73,49.87,21842.578
2025-07-16 09:59:59,49.86,50.0,49.52,49.74,23461.686
2025-07-16 10:59:59,49.75,49.78,49.39,49.39,15749.398
2025-07-16 11:59:59,49.38,49.69,49.36,49.47,16202.893
2025-07-16 12:59:59,49.47,49.85,49.42,49.51,25639.778
2025-07-16 13:59:59,49.51,49.73,49.27,49.59,26559.465
2025-07-16 14:59:59,49.58,50.56,49.42,50.34,51509.322
2025-07-16 15:59:59,50.34,50.47,49.38,49.76,30222.719
2025-07-16 16:59:59,49.76,50.32,49.59,50.24,19667.187
2025-07-16 17:59:59,50.23,50.43,49.98,50.26,17796.065
2025-07-16 18:59:59,50.27,50.73,50.24,50.39,25618.318
2025-07-16 19:59:59,50.39,50.49,50.14,50.37,12675.029
2025-07-16 20:59:59,50.37,50.98,50.36,50.64,20450.019
2025-07-16 21:59:59,50.64,51.46,50.54,50.99,49574.132
2025-07-16 22:59:59,51.0,51.29,50.27,50.46,16033.764
2025-07-16 23:59:59,50.47,50.54,49.88,50.23,16228.637
2025-07-17 00:59:59,50.23,50.96,50.11,50.25,24036.081
2025-07-17 01:59:59,50.24,50.69,48.79,49.7,47118.682
2025-07-17 02:59:59,49.68,50.07,49.52,49.79,19930.956
2025-07-17 03:59:59,49.79,49.86,48.7,49.03,34674.712
2025-07-17 04:59:59,49.02,49.29,48.93,49.22,29284.642
2025-07-17 05:59:59,49.21,49.48,48.87,49.48,19966.062
2025-07-17 06:59:59,49.49,50.45,49.41,50.14,39212.56
2025-07-17 07:59:59,50.14,50.39,49.64,50.1,21894.438
2025-07-17 08:59:59,50.11,50.32,49.82,50.19,20276.949
2025-07-17 09:59:59,50.17,51.09,50.06,50.86,36824.876
2025-07-17 10:59:59,50.86,50.98,50.3,50.52,31613.052
2025-07-17 11:59:59,50.52,50.59,50.21,50.25,16243.8
2025-07-17 12:59:59,50.26,50.95,49.84,50.8,30653.889
2025-07-17 13:59:59,50.8,50.97,49.65,50.31,30250.888
2025-07-17 14:59:59,50.32,50.61,50.03,50.33,18972.099
2025-07-17 15:59:59,50.34,50.46,49.59,50.05,24583.741
2025-07-17 16:59:59,50.05,50.18,48.64,49.23,65071.765
2025-07-17 17:59:59,49.24,49.95,49.12,49.85,24424.579
2025-07-17 18:59:59,49.86,49.94,49.51,49.67,15844.182
2025-07-17 19:59:59,49.68,50.22,49.07,49.16,33534.847
2025-07-17 20:59:59,49.16,49.25,48.22,49.03,50171.284
2025-07-17 21:59:59,49.05,50.09,49.02,49.5,37008.641
2025-07-17 22:59:59,49.5,50.44,49.38,50.17,26765.2
2025-07-17 23:59:59,50.17,50.57,49.83,50.12,25351.555
2025-07-18 00:59:59,50.12,51.01,49.78,50.95,29963.689
2025-07-18 01:59:59,50.95,51.9,50.78,51.58,68232.51
2025-07-18 02:59:59,51.58,51.7,51.09,51.46,40109.466
2025-07-18 03:59:59,51.46,52.28,51.27,52.19,26884.873
2025-07-18 04:59:59,52.18,54.58,51.78,54.04,90284.419
2025-07-18 05:59:59,54.04,59.5,53.66,54.39,134121.866
2025-07-18 06:59:59,54.39,54.43,53.54,54.24,62771.569
2025-07-18 07:59:59,54.24,55.05,53.03,53.22,80139.986
2025-07-18 08:59:59,53.22,54.61,53.2,54.42,83881.352
2025-07-18 09:59:59,54.42,54.64,52.93,53.61,78776.372
2025-07-18 10:59:59,53.6,53.6,52.0,53.4,91687.155
2025-07-18 11:59:59,53.4,53.69,52.57,52.8,39654.295
2025-07-18 12:59:59,52.8,53.44,52.76,53.43,29612.28
2025-07-18 13:59:59,53.43,53.57,52.69,52.94,36827.22
2025-07-18 14:59:59,52.95,53.23,51.44,52.19,87367.237
2025-07-18 15:59:59,52.19,52.23,51.09,51.87,59394.036
2025-07-18 16:59:59,51.88,52.35,51.62,51.94,26203.183
2025-07-18 17:59:59,51.95,52.74,51.71,52.4,24574.241
2025-07-18 18:59:59,52.4,52.45,51.55,51.62,14228.153
2025-07-18 19:59:59,51.62,51.85,51.13,51.56,22774.198
2025-07-18 20:59:59,51.56,51.63,50.3,51.01,44536.426
2025-07-18 21:59:59,51.01,52.13,50.93,51.63,19187.857
2025-07-18 22:59:59,51.63,51.99,51.26,51.43,21310.995
2025-07-18 23:59:59,51.43,51.61,50.95,51.49,15201.107
2025-07-19 00:59:59,51.5,51.65,50.3,50.31,34953.682
2025-07-19 01:59:59,50.32,50.97,49.87,50.81,22204.815
2025-07-19 02:59:59,50.82,51.24,50.45,51.18,17400.735
2025-07-19 03:59:59,51.18,51.87,51.16,51.87,26538.854
2025-07-19 04:59:59,51.88,52.36,51.68,51.89,29794.35
2025-07-19 05:59:59,51.88,51.94,51.38,51.65,12439.037
2025-07-19 06:59:59,51.64,51.81,51.28,51.53,11846.498
2025-07-19 07:59:59,51.53,51.68,51.05,51.11,13638.777
2025-07-19 08:59:59,51.11,51.26,50.64,50.79,15750.891
2025-07-19 09:59:59,50.78,51.0,50.54,50.65,14806.751
2025-07-19 10:59:59,50.65,50.82,50.39,50.69,14789.137
2025-07-19 11:59:59,50.68,50.83,50.25,50.31,17710.172
2025-07-19 12:59:59,50.31,50.59,49.94,50.56,25247.81
2025-07-19 13:59:59,50.56,50.63,50.01,50.21,11013.801
2025-07-19 14:59:59,50.21,50.35,49.6,49.69,20078.852
2025-07-19 15:59:59,49.69,50.43,49.67,50.17,16411.721
2025-07-19 16:59:59,50.15,50.62,49.93,50.35,32802.477
2025-07-19 17:59:59,50.36,50.37,49.88,50.0,17632.45
2025-07-19 18:59:59,50.0,51.37,49.97,50.75,65819.588
2025-07-19 19:59:59,50.76,51.77,50.58,51.56,17920.681
2025-07-19 20:59:59,51.55,52.22,51.52,51.77,25061.351
2025-07-19 21:59:59,51.76,51.78,50.98,51.43,18999.914
2025-07-19 22:59:59,51.44,51.68,51.22,51.48,9394.09
2025-07-19 23:59:59,51.48,51.87,51.35,51.82,10417.136
2025-07-20 00:59:59,51.82,51.97,51.34,51.58,13882.932
2025-07-20 01:59:59,51.58,52.32,51.48,51.99,23536.214
2025-07-20 02:59:59,51.98,52.65,51.82,52.29,20200.399
2025-07-20 03:59:59,52.28,53.07,52.18,52.77,26057.499
2025-07-20 04:59:59,52.78,53.71,52.53,53.4,48887.002
2025-07-20 05:59:59,53.41,53.42,52.6,53.18,23567.884
2025-07-20 06:59:59,53.17,53.31,52.46,52.59,23349.378
2025-07-20 07:59:59,52.59,53.59,52.5,53.16,40180.32
2025-07-20 08:59:59,53.16,53.81,53.11,53.69,17944.522
2025-07-20 09:59:59,53.68,54.53,53.63,54.13,37864.941
2025-07-20 10:59:59,54.12,54.23,53.68,53.73,18422.904
2025-07-20 11:59:59,53.74,54.35,53.58,54.2,32474.794
2025-07-20 12:59:59,54.2,54.42,53.67,53.9,27435.567
2025-07-20 13:59:59,53.89,54.33,53.75,54.31,16399.669
2025-07-20 14:59:59,54.3,54.32,53.66,54.02,31163.733
2025-07-20 15:59:59,54.02,54.97,53.95,54.79,36345.621
2025-07-20 16:59:59,54.8,55.4,54.45,55.07,50448.917
2025-07-20 17:59:59,55.06,55.33,54.24,54.33,34527.449
2025-07-20 18:59:59,54.33,54.67,54.2,54.6,21082.297
2025-07-20 19:59:59,54.6,54.83,54.29,54.35,13737.381
2025-07-20 20:59:59,54.35,54.96,53.8,54.55,35832.769
2025-07-20 21:59:59,54.57,54.64,53.98,54.59,16627.829
2025-07-20 22:59:59,54.59,54.61,52.87,53.95,43921.09
2025-07-20 23:59:59,53.95,54.12,53.54,53.77,17119.952
2025-07-21 00:59:59,53.77,54.02,52.76,53.27,46241.497
2025-07-21 01:59:59,53.27,53.45,52.32,52.58,35035.679
2025-07-21 02:59:59,52.59,53.08,52.41,52.99,40546.192
2025-07-21 03:59:59,53.01,53.97,52.97,53.93,31231.664
2025-07-21 04:59:59,53.92,54.06,53.33,53.6,26254.885
2025-07-21 05:59:59,53.6,53.71,53.11,53.64,16056.61
2025-07-21 06:59:59,53.65,54.22,53.53,53.95,28175.689
2025-07-21 07:59:59,53.95,55.03,53.95,54.4,64192.412
2025-07-21 08:59:59,54.4,55.04,54.26,54.59,33506.493
2025-07-21 09:59:59,54.59,54.69,53.72,54.24,22371.328
2025-07-21 10:59:59,54.24,54.95,53.98,54.71,22522.283
2025-07-21 11:59:59,54.71,55.05,54.52,54.61,22102.959
2025-07-21 12:59:59,54.61,54.65,54.11,54.32,15545.665
2025-07-21 13:59:59,54.33,55.66,53.53,55.23,76021.918
2025-07-21 14:59:59,55.24,55.56,54.66,55.19,58022.266
2025-07-21 15:59:59,55.2,55.69,54.49,54.57,53857.294
2025-07-21 16:59:59,54.56,54.76,53.26,53.86,46592.841
2025-07-21 17:59:59,53.86,54.57,53.84,54.48,28117.757
2025-07-21 18:59:59,54.5,54.82,53.52,53.63,17730.355
2025-07-21 19:59:59,53.62,54.08,53.03,53.18,29799.879
2025-07-21 20:59:59,53.19,53.8,52.92,53.36,34792.752
2025-07-21 21:59:59,53.35,53.83,53.16,53.64,10953.955
2025-07-21 22:59:59,53.64,54.12,53.52,53.74,17643.922
2025-07-21 23:59:59,53.75,54.25,53.57,53.86,10555.875
2025-07-22 00:59:59,53.86,54.14,53.1,53.17,15531.627
2025-07-22 01:59:59,53.16,54.37,52.17,54.17,70889.796
2025-07-22 02:59:59,54.18,54.26,52.83,53.0,33783.105
2025-07-22 03:59:59,53.0,53.08,51.65,52.16,51522.515
2025-07-22 04:59:59,52.15,52.23,50.51,50.74,53127.17
2025-07-22 05:59:59,50.74,51.57,50.68,51.15,31034.316
2025-07-22 06:59:59,51.16,51.76,50.94,51.25,29548.886
2025-07-22 07:59:59,51.26,51.91,50.92,51.08,27103.831
