datetime,open,high,low,close,volume
2025-07-16 07:59:59,0.784,0.795,0.782,0.79,13073207.1
2025-07-16 08:59:59,0.79,0.795,0.787,0.788,7621796.2
2025-07-16 09:59:59,0.789,0.797,0.781,0.785,8181926.9
2025-07-16 10:59:59,0.786,0.787,0.772,0.773,6848210.3
2025-07-16 11:59:59,0.773,0.788,0.771,0.78,8061251.2
2025-07-16 12:59:59,0.781,0.801,0.777,0.796,13850544.1
2025-07-16 13:59:59,0.796,0.806,0.788,0.804,13243096.0
2025-07-16 14:59:59,0.805,0.842,0.801,0.829,27262231.0
2025-07-16 15:59:59,0.83,0.836,0.808,0.814,24956471.0
2025-07-16 16:59:59,0.814,0.833,0.803,0.83,18227423.6
2025-07-16 17:59:59,0.829,0.833,0.811,0.825,12043391.5
2025-07-16 18:59:59,0.825,0.831,0.817,0.827,7929149.1
2025-07-16 19:59:59,0.828,0.839,0.811,0.818,12577177.4
2025-07-16 20:59:59,0.819,0.859,0.817,0.857,27585143.6
2025-07-16 21:59:59,0.857,0.945,0.854,0.926,95560457.9
2025-07-16 22:59:59,0.925,0.95,0.906,0.937,48169732.7
2025-07-16 23:59:59,0.936,0.943,0.904,0.922,37355303.5
2025-07-17 00:59:59,0.923,0.95,0.919,0.919,40691549.6
2025-07-17 01:59:59,0.919,0.936,0.904,0.933,22970861.8
2025-07-17 02:59:59,0.932,0.969,0.93,0.942,39634148.5
2025-07-17 03:59:59,0.942,0.943,0.909,0.915,28815469.9
2025-07-17 04:59:59,0.915,0.928,0.912,0.926,15214341.3
2025-07-17 05:59:59,0.925,0.962,0.903,0.959,25789507.0
2025-07-17 06:59:59,0.959,0.985,0.938,0.98,51702453.9
2025-07-17 07:59:59,0.981,1.024,0.963,0.988,81504409.8
2025-07-17 08:59:59,0.987,0.999,0.968,0.978,45508049.1
2025-07-17 09:59:59,0.978,1.02,0.972,0.988,45404856.7
2025-07-17 10:59:59,0.989,1.015,0.955,0.969,45114836.9
2025-07-17 11:59:59,0.969,0.981,0.957,0.973,28582739.0
2025-07-17 12:59:59,0.973,0.99,0.964,0.98,29939446.6
2025-07-17 13:59:59,0.981,0.999,0.961,0.987,37069103.0
2025-07-17 14:59:59,0.986,1.01,0.985,0.996,29081513.7
2025-07-17 15:59:59,0.997,0.999,0.964,0.968,20984649.1
2025-07-17 16:59:59,0.967,0.974,0.915,0.932,55005443.8
2025-07-17 17:59:59,0.933,0.95,0.928,0.945,19296119.8
2025-07-17 18:59:59,0.945,0.969,0.94,0.964,20817062.4
2025-07-17 19:59:59,0.965,0.988,0.95,0.953,22727220.3
2025-07-17 20:59:59,0.953,1.028,0.937,1.026,59843071.5
2025-07-17 21:59:59,1.025,1.047,0.981,0.995,51306861.8
2025-07-17 22:59:59,0.996,1.013,0.984,0.99,17776813.4
2025-07-17 23:59:59,0.989,1.028,0.987,1.006,14989437.1
2025-07-18 00:59:59,1.005,1.019,0.991,0.993,15792594.8
2025-07-18 01:59:59,0.994,1.073,0.988,1.06,27475997.8
2025-07-18 02:59:59,1.059,1.067,1.013,1.019,19530204.8
2025-07-18 03:59:59,1.019,1.066,1.013,1.049,16508035.9
2025-07-18 04:59:59,1.05,1.064,1.021,1.05,16431479.9
2025-07-18 05:59:59,1.051,1.082,1.041,1.057,17926799.3
2025-07-18 06:59:59,1.056,1.057,1.022,1.025,12887796.3
2025-07-18 07:59:59,1.024,1.044,1.015,1.034,14223855.6
