datetime,open,high,low,close,volume
2025-07-16 07:59:59,22.21,22.6,22.13,22.41,16232.081
2025-07-16 08:59:59,22.42,22.52,22.34,22.46,13744.152
2025-07-16 09:59:59,22.46,22.57,22.26,22.38,12963.456
2025-07-16 10:59:59,22.38,22.41,22.26,22.28,4888.067
2025-07-16 11:59:59,22.29,22.35,22.25,22.27,3389.246
2025-07-16 12:59:59,22.27,22.45,22.24,22.3,9237.875
2025-07-16 13:59:59,22.29,22.36,22.18,22.27,5947.837
2025-07-16 14:59:59,22.27,22.55,22.16,22.52,11366.553
2025-07-16 15:59:59,22.51,22.6,22.12,22.33,24173.311
2025-07-16 16:59:59,22.32,22.61,22.23,22.61,9709.023
2025-07-16 17:59:59,22.62,22.81,22.5,22.8,11471.625
2025-07-16 18:59:59,22.79,22.88,22.6,22.65,12099.155
2025-07-16 19:59:59,22.66,22.79,22.45,22.72,15625.81
2025-07-16 20:59:59,22.72,23.05,22.71,22.9,11597.031
2025-07-16 21:59:59,22.9,23.09,22.46,22.96,33080.106
2025-07-16 22:59:59,22.95,23.03,22.61,22.69,11338.13
2025-07-16 23:59:59,22.69,22.74,22.5,22.69,9446.268
2025-07-17 00:59:59,22.68,22.89,22.59,22.69,4875.649
2025-07-17 01:59:59,22.69,22.78,22.21,22.49,17432.475
2025-07-17 02:59:59,22.47,22.64,22.41,22.6,10082.986
2025-07-17 03:59:59,22.59,22.61,22.24,22.36,7492.754
2025-07-17 04:59:59,22.36,22.51,22.23,22.51,5413.539
2025-07-17 05:59:59,22.52,22.63,22.38,22.62,5965.249
2025-07-17 06:59:59,22.63,22.83,22.48,22.75,5443.234
2025-07-17 07:59:59,22.75,22.76,22.52,22.64,7068.736
2025-07-17 08:59:59,22.66,22.77,22.54,22.71,9215.494
2025-07-17 09:59:59,22.71,22.99,22.65,22.93,10612.138
2025-07-17 10:59:59,22.92,22.99,22.75,22.85,8894.788
2025-07-17 11:59:59,22.85,22.97,22.73,22.73,12721.128
2025-07-17 12:59:59,22.74,22.85,22.53,22.75,13564.418
2025-07-17 13:59:59,22.74,22.79,22.38,22.68,9993.214
2025-07-17 14:59:59,22.67,22.82,22.62,22.75,6454.806
2025-07-17 15:59:59,22.76,22.8,22.54,22.71,5675.267
2025-07-17 16:59:59,22.71,22.76,22.29,22.52,22638.654
2025-07-17 17:59:59,22.52,22.77,22.47,22.71,8412.517
2025-07-17 18:59:59,22.73,22.76,22.58,22.67,7775.677
2025-07-17 19:59:59,22.68,22.84,22.38,22.43,11882.742
2025-07-17 20:59:59,22.44,22.49,22.17,22.49,13812.627
2025-07-17 21:59:59,22.49,22.92,22.48,22.77,14167.853
2025-07-17 22:59:59,22.77,22.92,22.72,22.8,6933.292
2025-07-17 23:59:59,22.81,23.0,22.62,22.64,16200.022
2025-07-18 00:59:59,22.65,23.03,22.58,23.01,9371.821
2025-07-18 01:59:59,23.0,23.25,22.98,23.15,14579.773
2025-07-18 02:59:59,23.16,23.37,23.0,23.35,14524.143
2025-07-18 03:59:59,23.35,23.5,23.29,23.45,13021.647
2025-07-18 04:59:59,23.46,23.84,23.31,23.84,16832.836
2025-07-18 05:59:59,23.84,24.11,23.72,24.08,19551.832
2025-07-18 06:59:59,24.08,24.11,23.66,24.0,23132.75
2025-07-18 07:59:59,24.01,24.14,23.76,23.77,26347.391
2025-07-18 08:59:59,23.78,23.89,23.34,23.64,23840.625
2025-07-18 09:59:59,23.63,23.81,23.5,23.8,11197.481
2025-07-18 10:59:59,23.81,24.0,23.46,23.94,13988.959
2025-07-18 11:59:59,23.94,24.96,23.79,24.5,138004.774
2025-07-18 12:59:59,24.5,24.55,24.04,24.26,37276.872
2025-07-18 13:59:59,24.27,24.29,23.99,24.07,14399.385
2025-07-18 14:59:59,24.08,24.21,23.55,23.77,24698.65
2025-07-18 15:59:59,23.77,23.94,23.34,23.57,14627.178
2025-07-18 16:59:59,23.58,23.89,23.51,23.71,10405.788
2025-07-18 17:59:59,23.72,23.98,23.63,23.83,7219.709
2025-07-18 18:59:59,23.84,23.87,23.62,23.64,8214.753
2025-07-18 19:59:59,23.65,23.76,23.4,23.59,10675.889
2025-07-18 20:59:59,23.59,23.63,23.04,23.4,14442.951
2025-07-18 21:59:59,23.4,23.78,23.39,23.64,7786.063
2025-07-18 22:59:59,23.64,23.8,23.48,23.51,6990.026
2025-07-18 23:59:59,23.52,23.68,23.36,23.65,9658.548
2025-07-19 00:59:59,23.66,23.8,23.26,23.28,17417.657
2025-07-19 01:59:59,23.28,23.5,23.01,23.41,9624.2
2025-07-19 02:59:59,23.42,23.68,23.32,23.62,9881.051
2025-07-19 03:59:59,23.63,23.86,23.58,23.85,6822.749
2025-07-19 04:59:59,23.85,24.0,23.72,23.87,12657.282
2025-07-19 05:59:59,23.88,23.94,23.67,23.81,6577.001
2025-07-19 06:59:59,23.8,23.85,23.57,23.67,4941.506
2025-07-19 07:59:59,23.68,23.85,23.65,23.68,3902.285
2025-07-19 08:59:59,23.67,23.71,23.52,23.58,5822.201
2025-07-19 09:59:59,23.58,23.69,23.5,23.54,4267.651
2025-07-19 10:59:59,23.56,24.3,23.52,23.8,35362.502
2025-07-19 11:59:59,23.79,23.83,23.5,23.51,10887.422
2025-07-19 12:59:59,23.5,23.66,23.4,23.6,7078.577
2025-07-19 13:59:59,23.6,23.61,23.43,23.47,2739.68
2025-07-19 14:59:59,23.47,23.51,23.29,23.3,7962.253
2025-07-19 15:59:59,23.31,23.53,23.26,23.39,9876.995
2025-07-19 16:59:59,23.39,23.54,23.31,23.49,4255.918
2025-07-19 17:59:59,23.5,23.54,23.38,23.52,3492.11
2025-07-19 18:59:59,23.51,23.81,23.5,23.7,9395.01
2025-07-19 19:59:59,23.71,24.4,23.6,24.15,24537.254
2025-07-19 20:59:59,24.15,24.81,24.13,24.42,39297.637
2025-07-19 21:59:59,24.44,24.49,23.88,24.26,25908.152
2025-07-19 22:59:59,24.26,24.36,24.06,24.25,9416.37
2025-07-19 23:59:59,24.24,24.39,24.22,24.34,3503.829
2025-07-20 00:59:59,24.33,24.57,24.14,24.44,19841.878
2025-07-20 01:59:59,24.44,24.85,24.43,24.63,34351.247
2025-07-20 02:59:59,24.64,24.79,24.46,24.58,14560.047
2025-07-20 03:59:59,24.58,24.79,24.48,24.58,5443.69
2025-07-20 04:59:59,24.58,24.74,24.43,24.72,8380.494
2025-07-20 05:59:59,24.72,24.72,24.49,24.64,6107.848
2025-07-20 06:59:59,24.64,24.84,24.57,24.72,10242.325
2025-07-20 07:59:59,24.71,24.87,24.66,24.71,6598.117
2025-07-20 08:59:59,24.7,25.48,24.7,25.36,31798.179
2025-07-20 09:59:59,25.37,25.66,25.19,25.29,22336.177
2025-07-20 10:59:59,25.28,25.48,25.28,25.33,8327.374
2025-07-20 11:59:59,25.35,25.55,25.23,25.41,9026.293
2025-07-20 12:59:59,25.41,25.64,25.31,25.4,19417.638
2025-07-20 13:59:59,25.39,25.61,25.37,25.59,6216.214
2025-07-20 14:59:59,25.6,25.6,25.05,25.28,26538.625
2025-07-20 15:59:59,25.27,25.55,25.13,25.51,12925.959
2025-07-20 16:59:59,25.51,25.85,25.49,25.74,15082.092
2025-07-20 17:59:59,25.74,25.97,25.34,25.66,29646.773
2025-07-20 18:59:59,25.67,25.77,25.52,25.63,14145.175
2025-07-20 19:59:59,25.63,25.87,25.6,25.61,13496.148
2025-07-20 20:59:59,25.62,25.63,25.3,25.45,12683.295
2025-07-20 21:59:59,25.46,25.63,25.19,25.62,8844.993
2025-07-20 22:59:59,25.62,25.64,24.75,25.33,27220.248
2025-07-20 23:59:59,25.32,25.4,25.11,25.21,9459.446
2025-07-21 00:59:59,25.22,25.24,24.69,25.02,23990.546
2025-07-21 01:59:59,25.02,25.07,24.72,25.02,7695.945
2025-07-21 02:59:59,25.02,25.31,25.02,25.31,5193.345
2025-07-21 03:59:59,25.29,25.51,25.28,25.44,8637.334
2025-07-21 04:59:59,25.44,25.47,25.27,25.38,8209.07
2025-07-21 05:59:59,25.38,25.39,25.11,25.37,8334.506
2025-07-21 06:59:59,25.37,25.55,25.3,25.42,11290.815
2025-07-21 07:59:59,25.42,25.53,25.36,25.41,8951.41
2025-07-21 08:59:59,25.42,25.61,25.29,25.38,11230.781
2025-07-21 09:59:59,25.38,25.54,25.18,25.26,9872.578
2025-07-21 10:59:59,25.26,25.39,25.11,25.38,11375.692
2025-07-21 11:59:59,25.37,25.62,25.29,25.42,15246.004
2025-07-21 12:59:59,25.41,25.53,25.24,25.39,19137.672
2025-07-21 13:59:59,25.39,25.62,25.15,25.58,19472.526
2025-07-21 14:59:59,25.57,25.82,25.37,25.73,23065.943
2025-07-21 15:59:59,25.73,25.88,25.51,25.54,12401.315
2025-07-21 16:59:59,25.54,25.56,24.93,25.12,26968.612
2025-07-21 17:59:59,25.11,25.33,25.09,25.26,11185.251
2025-07-21 18:59:59,25.27,25.51,25.14,25.15,11565.417
2025-07-21 19:59:59,25.15,25.35,24.82,24.95,22045.142
2025-07-21 20:59:59,24.95,25.17,24.88,25.02,7506.666
2025-07-21 21:59:59,25.01,25.15,24.85,24.99,9863.058
2025-07-21 22:59:59,25.0,25.2,24.96,25.09,10919.076
