datetime,open,high,low,close,volume
2024-10-01 06:59:59,4.0,4.59,3.9,4.359,13924383.6
2024-10-01 07:59:59,4.357,4.515,4.15,4.16,14135692.1
2024-10-01 08:59:59,4.161,4.345,4.04,4.119,14001119.9
2024-10-01 09:59:59,4.118,4.249,4.063,4.098,11665474.9
2024-10-01 10:59:59,4.098,4.185,4.043,4.114,10289062.0
2024-10-01 11:59:59,4.114,4.132,3.732,3.81,23263742.0
2024-10-01 12:59:59,3.808,3.877,3.71,3.833,16855250.8
2024-10-01 13:59:59,3.833,3.947,3.732,3.932,18568678.7
2024-10-01 14:59:59,3.932,3.994,3.702,3.783,17548287.1
2024-10-01 15:59:59,3.784,3.98,3.667,3.941,15121494.8
2024-10-01 16:59:59,3.941,4.085,3.868,3.975,14470446.9
2024-10-01 17:59:59,3.975,4.45,3.751,4.3,25262499.8
2024-10-01 18:59:59,4.3,4.358,4.056,4.13,16576854.3
2024-10-01 19:59:59,4.13,4.186,3.962,3.981,10503733.3
2024-10-01 20:59:59,3.981,4.049,3.751,3.955,14202606.2
2024-10-01 21:59:59,3.957,4.099,3.9,4.012,6851091.3
2024-10-01 22:59:59,4.013,4.038,3.813,3.855,4897890.4
2024-10-01 23:59:59,3.855,4.089,3.828,4.018,4863618.2
2024-10-02 00:59:59,4.017,4.16,3.946,3.987,6045552.5
2024-10-02 01:59:59,3.988,4.109,3.945,4.086,4890239.0
2024-10-02 02:59:59,4.084,4.257,4.008,4.119,7927354.6
2024-10-02 03:59:59,4.119,4.131,3.99,4.092,4917164.2
2024-10-02 04:59:59,4.092,4.15,4.005,4.009,4325529.5
2024-10-02 05:59:59,4.01,4.07,3.952,4.05,4489298.1
2024-10-02 06:59:59,4.052,4.088,3.85,3.909,6737185.5
2024-10-02 07:59:59,3.91,3.95,3.841,3.923,4708609.4
2024-10-02 08:59:59,3.924,3.963,3.857,3.903,3321044.8
2024-10-02 09:59:59,3.9,3.941,3.53,3.607,16781909.3
2024-10-02 10:59:59,3.607,3.674,3.494,3.522,9687480.8
2024-10-02 11:59:59,3.522,3.629,3.51,3.561,5907532.4
2024-10-02 12:59:59,3.561,3.63,3.465,3.572,7999467.8
2024-10-02 13:59:59,3.572,3.67,3.555,3.643,6093191.9
2024-10-02 14:59:59,3.643,3.715,3.557,3.644,6141701.8
2024-10-02 15:59:59,3.644,3.761,3.607,3.652,7598874.5
2024-10-02 16:59:59,3.653,3.723,3.515,3.536,5735904.3
2024-10-02 17:59:59,3.536,3.605,3.503,3.513,4911009.2
2024-10-02 18:59:59,3.514,3.535,3.296,3.3,11707016.5
2024-10-02 19:59:59,3.299,3.39,3.15,3.363,14903099.3
2024-10-02 20:59:59,3.36,3.38,3.291,3.337,6563054.4
2024-10-02 21:59:59,3.337,3.379,3.26,3.357,3434218.2
2024-10-02 22:59:59,3.358,3.372,3.231,3.345,3830923.6
2024-10-02 23:59:59,3.345,3.362,3.245,3.254,2619944.8
2024-10-03 00:59:59,3.253,3.324,3.17,3.255,5448528.8
2024-10-03 01:59:59,3.256,3.47,3.254,3.376,6040505.8
2024-10-03 02:59:59,3.376,3.552,3.351,3.498,4634219.6
2024-10-03 03:59:59,3.499,3.542,3.413,3.474,3815133.7
2024-10-03 04:59:59,3.474,3.503,3.39,3.489,2979517.4
