datetime,open,high,low,close,volume
2025-07-16 07:59:59,96.2,96.62,96.01,96.36,53655.996
2025-07-16 08:59:59,96.37,96.57,96.09,96.5,78532.958
2025-07-16 09:59:59,96.5,97.72,96.49,97.6,163794.864
2025-07-16 10:59:59,97.6,97.66,96.83,96.89,62843.717
2025-07-16 11:59:59,96.9,97.44,96.89,96.96,61149.538
2025-07-16 12:59:59,96.97,97.83,96.88,97.33,119771.233
2025-07-16 13:59:59,97.33,97.51,96.64,97.04,134738.343
2025-07-16 14:59:59,97.03,98.05,96.36,97.68,200023.068
2025-07-16 15:59:59,97.69,97.9,95.82,96.85,236407.739
2025-07-16 16:59:59,96.84,98.02,96.52,97.95,159577.295
2025-07-16 17:59:59,97.95,99.33,97.87,99.28,261497.269
2025-07-16 18:59:59,99.29,99.81,98.72,98.8,154668.861
2025-07-16 19:59:59,98.81,98.91,98.11,98.55,167725.656
2025-07-16 20:59:59,98.55,99.46,98.52,98.7,146434.0
2025-07-16 21:59:59,98.69,99.99,98.56,99.07,132593.099
2025-07-16 22:59:59,99.07,99.37,97.53,97.89,175888.925
2025-07-16 23:59:59,97.89,97.98,97.06,97.46,134845.902
2025-07-17 00:59:59,97.46,98.84,97.35,97.8,141337.241
2025-07-17 01:59:59,97.79,98.23,95.56,96.48,270837.746
2025-07-17 02:59:59,96.48,96.94,96.24,96.75,67000.449
2025-07-17 03:59:59,96.75,96.76,95.33,96.11,132954.639
2025-07-17 04:59:59,96.1,96.67,95.88,96.59,62372.174
2025-07-17 05:59:59,96.58,97.79,96.21,97.78,110414.851
2025-07-17 06:59:59,97.78,98.64,97.46,98.36,208403.558
2025-07-17 07:59:59,98.35,98.45,97.44,98.2,128313.68
2025-07-17 08:59:59,98.2,98.91,98.0,98.87,124349.81
2025-07-17 09:59:59,98.87,101.42,98.68,100.74,401603.469
2025-07-17 10:59:59,100.74,100.9,99.49,100.09,286482.697
2025-07-17 11:59:59,100.1,100.17,99.21,99.66,150770.226
2025-07-17 12:59:59,99.66,100.97,98.88,100.7,285378.492
2025-07-17 13:59:59,100.7,100.95,98.17,99.78,409565.689
2025-07-17 14:59:59,99.77,101.5,99.76,100.79,254033.645
2025-07-17 15:59:59,100.79,101.76,99.91,101.28,284670.842
2025-07-17 16:59:59,101.29,101.62,100.2,101.58,412626.228
2025-07-17 17:59:59,101.58,101.99,99.98,101.46,324032.567
2025-07-17 18:59:59,101.46,101.72,100.71,101.6,214929.947
2025-07-17 19:59:59,101.6,102.4,100.86,100.97,224753.283
2025-07-17 20:59:59,100.96,101.59,99.79,101.13,228979.352
2025-07-17 21:59:59,101.13,102.7,100.05,101.64,266876.299
2025-07-17 22:59:59,101.64,103.63,101.27,102.22,209977.391
2025-07-17 23:59:59,102.22,103.12,101.38,101.6,145616.493
2025-07-18 00:59:59,101.6,103.52,101.07,103.31,253133.4
2025-07-18 01:59:59,103.32,104.72,103.01,104.27,301719.759
2025-07-18 02:59:59,104.28,104.9,103.33,104.47,219132.574
2025-07-18 03:59:59,104.48,107.87,103.9,107.82,668427.611
2025-07-18 04:59:59,107.82,107.88,106.19,107.33,293991.559
2025-07-18 05:59:59,107.33,109.53,106.98,108.97,388844.496
2025-07-18 06:59:59,108.96,110.27,107.86,108.86,417385.304
2025-07-18 07:59:59,108.87,109.79,107.55,107.74,367277.578
2025-07-18 08:59:59,107.74,109.87,107.72,108.75,380211.33
2025-07-18 09:59:59,108.75,112.34,107.91,111.43,480561.917
2025-07-18 10:59:59,111.43,111.46,108.75,109.97,333503.613
2025-07-18 11:59:59,109.98,110.16,108.1,108.56,224045.946
2025-07-18 12:59:59,108.56,110.48,108.06,110.44,347074.801
2025-07-18 13:59:59,110.43,110.44,105.42,106.49,815757.176
2025-07-18 14:59:59,106.5,106.81,104.13,105.07,533453.206
2025-07-18 15:59:59,105.06,105.2,103.12,103.91,371051.923
2025-07-18 16:59:59,103.9,105.79,103.9,105.31,277964.94
2025-07-18 17:59:59,105.31,105.37,104.19,104.48,150305.752
2025-07-18 18:59:59,104.48,104.57,102.87,102.98,194990.56
2025-07-18 19:59:59,102.98,103.38,101.95,102.3,255249.361
2025-07-18 20:59:59,102.29,102.51,100.11,101.54,364594.817
2025-07-18 21:59:59,101.54,102.59,101.42,101.59,114657.435
2025-07-18 22:59:59,101.58,102.28,100.59,100.86,173822.525
2025-07-18 23:59:59,100.87,101.73,100.02,101.72,152001.785
2025-07-19 00:59:59,101.72,102.31,100.64,100.68,146541.085
2025-07-19 01:59:59,100.69,101.44,100.06,101.19,129100.95
2025-07-19 02:59:59,101.19,101.97,100.4,101.76,99678.861
2025-07-19 03:59:59,101.77,102.86,101.62,102.52,277718.173
2025-07-19 04:59:59,102.53,104.41,102.42,103.03,396850.846
2025-07-19 05:59:59,103.03,103.26,102.32,102.81,152341.495
2025-07-19 06:59:59,102.8,102.86,101.73,102.47,123741.49
2025-07-19 07:59:59,102.47,103.23,102.35,102.73,108248.879
2025-07-19 08:59:59,102.73,103.0,101.61,102.03,111578.833
2025-07-19 09:59:59,102.03,102.31,101.5,101.99,90687.051
2025-07-19 10:59:59,102.0,102.27,101.4,101.6,82460.365
2025-07-19 11:59:59,101.6,102.01,100.9,101.28,106019.146
2025-07-19 12:59:59,101.29,101.56,100.62,101.44,110935.631
2025-07-19 13:59:59,101.44,101.44,100.44,100.87,128988.043
2025-07-19 14:59:59,100.87,100.96,99.6,99.86,216668.861
2025-07-19 15:59:59,99.86,101.45,99.76,101.18,144692.584
2025-07-19 16:59:59,101.18,102.08,101.05,101.88,113376.736
2025-07-19 17:59:59,101.89,101.92,101.2,101.81,53688.357
2025-07-19 18:59:59,101.8,104.15,101.67,103.72,240357.646
2025-07-19 19:59:59,103.72,113.65,103.51,112.7,1867166.049
2025-07-19 20:59:59,112.69,113.91,111.28,111.41,532302.535
2025-07-19 21:59:59,111.4,112.65,109.02,112.57,534744.165
2025-07-19 22:59:59,112.57,114.3,111.49,113.56,471040.709
2025-07-19 23:59:59,113.56,113.88,112.58,113.19,251240.327
2025-07-20 00:59:59,113.19,113.48,111.85,112.67,251446.145
2025-07-20 01:59:59,112.68,113.28,111.22,111.27,252273.056
2025-07-20 02:59:59,111.27,112.0,110.6,111.83,200919.488
2025-07-20 03:59:59,111.82,112.96,111.55,112.54,203929.89
2025-07-20 04:59:59,112.54,115.4,112.36,113.83,420135.499
2025-07-20 05:59:59,113.83,117.57,112.76,116.51,644903.0
2025-07-20 06:59:59,116.51,117.02,115.14,116.36,419481.482
2025-07-20 07:59:59,116.35,118.73,115.73,117.58,529634.62
2025-07-20 08:59:59,117.58,119.94,117.07,119.15,593011.854
2025-07-20 09:59:59,119.15,120.2,117.85,117.97,519656.595
2025-07-20 10:59:59,117.96,118.3,117.34,118.1,230071.38
2025-07-20 11:59:59,118.11,118.29,115.71,116.23,477039.466
2025-07-20 12:59:59,116.23,116.96,115.79,116.81,239398.095
2025-07-20 13:59:59,116.8,117.72,116.15,117.49,324947.727
2025-07-20 14:59:59,117.49,118.48,116.51,118.0,393225.918
2025-07-20 15:59:59,118.0,118.48,116.61,117.18,246553.569
2025-07-20 16:59:59,117.2,118.12,116.86,117.6,219277.334
2025-07-20 17:59:59,117.6,121.53,116.7,118.34,814852.145
2025-07-20 18:59:59,118.34,118.86,116.56,118.06,258670.403
2025-07-20 19:59:59,118.05,118.12,117.16,117.48,98864.625
2025-07-20 20:59:59,117.48,117.67,116.73,117.1,139724.37
2025-07-20 21:59:59,117.11,117.36,115.68,117.0,175452.416
2025-07-20 22:59:59,117.0,117.37,113.91,117.02,400607.279
2025-07-20 23:59:59,117.02,117.49,116.52,116.63,118419.834
2025-07-21 00:59:59,116.63,118.29,115.52,118.28,310489.709
2025-07-21 01:59:59,118.27,118.31,115.87,117.31,243518.996
2025-07-21 02:59:59,117.32,117.99,116.39,117.26,174635.023
2025-07-21 03:59:59,117.25,117.79,116.79,117.36,141713.394
2025-07-21 04:59:59,117.36,118.86,117.18,117.69,221639.37
2025-07-21 05:59:59,117.68,119.45,117.52,119.11,174120.684
2025-07-21 06:59:59,119.11,121.25,119.02,120.71,293661.695
2025-07-21 07:59:59,120.7,122.0,119.85,120.71,542381.369
2025-07-21 08:59:59,120.71,121.24,119.8,120.34,226514.876
2025-07-21 09:59:59,120.34,120.68,118.68,119.22,161309.735
2025-07-21 10:59:59,119.22,119.35,117.81,118.46,175009.73
2025-07-21 11:59:59,118.45,119.17,117.86,117.91,135163.844
2025-07-21 12:59:59,117.9,118.0,116.64,116.76,234522.8
2025-07-21 13:59:59,116.77,118.18,116.37,118.0,227355.617
2025-07-21 14:59:59,118.0,119.41,117.15,118.33,319257.216
2025-07-21 15:59:59,118.32,119.38,117.91,118.34,297117.888
2025-07-21 16:59:59,118.34,118.46,115.47,116.69,480962.942
2025-07-21 17:59:59,116.69,117.25,116.34,116.94,159938.244
2025-07-21 18:59:59,116.93,117.78,115.25,115.4,189190.121
2025-07-21 19:59:59,115.39,116.21,114.62,115.26,203512.007
2025-07-21 20:59:59,115.26,116.49,115.17,115.34,135570.429
2025-07-21 21:59:59,115.33,115.91,114.82,115.24,118626.303
2025-07-21 22:59:59,115.23,116.2,115.09,116.07,77900.996
2025-07-21 23:59:59,116.07,116.19,115.42,115.51,67947.532
2025-07-22 00:59:59,115.51,116.59,114.46,114.68,154078.376
2025-07-22 01:59:59,114.67,117.12,112.8,116.93,518726.094
2025-07-22 02:59:59,116.94,117.2,115.33,115.69,220827.163
2025-07-22 03:59:59,115.69,116.21,114.33,115.78,255163.802
2025-07-22 04:59:59,115.78,116.54,114.1,114.24,319999.093
2025-07-22 05:59:59,114.24,116.73,114.13,115.41,313937.247
2025-07-22 06:59:59,115.42,116.44,114.84,115.43,188927.141
2025-07-22 07:59:59,115.44,116.52,114.99,115.3,160509.558
2025-07-22 08:59:59,115.3,115.3,112.62,114.08,433156.652
2025-07-22 09:59:59,114.08,114.4,112.92,113.86,166711.026
