datetime,open,high,low,close,volume
2024-11-27 14:59:59,1.356,1.4313,1.3071,1.3883,1997843.6
2024-11-27 15:59:59,1.3845,1.553,1.3552,1.4909,5161823.2
2024-11-27 16:59:59,1.4922,1.768,1.4818,1.6553,15743515.4
2024-11-27 17:59:59,1.6567,1.764,1.6386,1.7135,6808249.7
2024-11-27 18:59:59,1.7136,1.8129,1.691,1.7423,9951511.4
2024-11-27 19:59:59,1.7426,1.7768,1.6967,1.7589,4680404.9
2024-11-27 20:59:59,1.7588,1.7756,1.6941,1.7208,3741742.1
2024-11-27 21:59:59,1.7215,1.82,1.6258,1.6563,5788977.3
2024-11-27 22:59:59,1.6563,1.6889,1.5259,1.5559,3832327.0
2024-11-27 23:59:59,1.5559,1.6879,1.521,1.6531,3539704.6
2024-11-28 00:59:59,1.6533,1.7456,1.53,1.5465,3628812.0
2024-11-28 01:59:59,1.5442,1.5495,1.373,1.4335,5570059.0
2024-11-28 02:59:59,1.4326,1.4894,1.4124,1.4204,2672247.6
2024-11-28 03:59:59,1.4199,1.4471,1.3731,1.4214,1715936.1
2024-11-28 04:59:59,1.421,1.4298,1.3943,1.3969,1279698.1
2024-11-28 05:59:59,1.3968,1.4301,1.353,1.4085,2590991.4
2024-11-28 06:59:59,1.4084,1.4285,1.3861,1.4039,1365388.0
2024-11-28 07:59:59,1.405,1.45,1.398,1.4169,1835933.7
2024-11-28 08:59:59,1.4166,1.4371,1.385,1.417,1817121.7
2024-11-28 09:59:59,1.4173,1.4289,1.385,1.3866,1244008.6
2024-11-28 10:59:59,1.3866,1.4122,1.34,1.3566,2595441.0
2024-11-28 11:59:59,1.3568,1.357,1.28,1.311,3763563.8
2024-11-28 12:59:59,1.3108,1.3219,1.272,1.2784,2571023.7
2024-11-28 13:59:59,1.2789,1.2986,1.2583,1.2971,2735135.1
2024-11-28 14:59:59,1.2964,1.3088,1.2666,1.2889,1929759.1
2024-11-28 15:59:59,1.2893,1.3069,1.237,1.2594,4478766.8
2024-11-28 16:59:59,1.2598,1.2648,1.1744,1.2015,8549985.0
2024-11-28 17:59:59,1.2012,1.2535,1.1951,1.2108,4782667.2
2024-11-28 18:59:59,1.2116,1.2647,1.2114,1.2616,3485211.0
2024-11-28 19:59:59,1.2618,1.299,1.24,1.2602,5600896.2
2024-11-28 20:59:59,1.2604,1.2709,1.2255,1.2557,2973387.1
2024-11-28 21:59:59,1.2559,1.2796,1.2528,1.2628,1940789.2
2024-11-28 22:59:59,1.2629,1.2835,1.2567,1.2598,1629148.1
2024-11-28 23:59:59,1.2597,1.2601,1.2192,1.2489,3247951.7
2024-11-29 00:59:59,1.2488,1.2633,1.2235,1.2264,2511552.7
2024-11-29 01:59:59,1.2259,1.2436,1.201,1.2273,2688335.2
2024-11-29 02:59:59,1.2272,1.2377,1.2156,1.2261,1719167.4
2024-11-29 03:59:59,1.226,1.2571,1.2201,1.232,2011584.0
2024-11-29 04:59:59,1.2315,1.238,1.203,1.2242,2325650.0
2024-11-29 05:59:59,1.2235,1.2705,1.2175,1.2682,2176211.2
2024-11-29 06:59:59,1.2683,1.3,1.1896,1.2212,7577973.7
2024-11-29 07:59:59,1.2208,1.2592,1.2151,1.2357,2293426.6
2024-11-29 08:59:59,1.2357,1.2403,1.2117,1.2146,1356656.9
2024-11-29 09:59:59,1.2146,1.2235,1.2008,1.207,2012785.5
2024-11-29 10:59:59,1.2072,1.2202,1.2035,1.2157,1897522.2
2024-11-29 11:59:59,1.216,1.2516,1.2114,1.2429,1935481.3
2024-11-29 12:59:59,1.2431,1.2515,1.2206,1.2356,1779267.3
2024-11-29 13:59:59,1.2348,1.2507,1.2242,1.2462,1212954.7
2024-11-29 14:59:59,1.2464,1.2816,1.2405,1.2598,2339798.3
2024-11-29 15:59:59,1.2597,1.2821,1.2253,1.2641,3338003.6
2024-11-29 16:59:59,1.2638,1.2682,1.19,1.2213,4547002.0
2024-11-29 17:59:59,1.2216,1.2421,1.2162,1.237,2405947.6
2024-11-29 18:59:59,1.2377,1.2664,1.2162,1.2368,2729929.4
2024-11-29 19:59:59,1.2372,1.28,1.2242,1.2738,2351154.7
2024-11-29 20:59:59,1.2737,1.2949,1.2582,1.2911,2002488.2
2024-11-29 21:59:59,1.2906,1.3377,1.2777,1.2976,4201384.5
2024-11-29 22:59:59,1.2971,1.3126,1.2646,1.2887,2199707.1
2024-11-29 23:59:59,1.2887,1.2896,1.2692,1.2783,782990.9
2024-11-30 00:59:59,1.2784,1.4187,1.2615,1.4113,8108393.5
2024-11-30 01:59:59,1.4117,1.5356,1.3811,1.5189,11936864.6
2024-11-30 02:59:59,1.5185,1.5388,1.4333,1.5083,10447762.6
2024-11-30 03:59:59,1.5083,1.5477,1.4548,1.5011,9431579.0
2024-11-30 04:59:59,1.5009,1.55,1.4793,1.5488,4781422.4
2024-11-30 05:59:59,1.5488,1.567,1.5128,1.5294,6807744.1
2024-11-30 06:59:59,1.5292,1.5345,1.4435,1.4521,5985101.2
2024-11-30 07:59:59,1.4531,1.4547,1.4174,1.4346,4842830.7
2024-11-30 08:59:59,1.4348,1.4484,1.374,1.4056,6063875.8
2024-11-30 09:59:59,1.4052,1.49,1.3984,1.4613,6869888.5
2024-11-30 10:59:59,1.4615,1.4863,1.4187,1.4401,6216010.5
2024-11-30 11:59:59,1.4403,1.4668,1.4148,1.4506,4097659.6
2024-11-30 12:59:59,1.4503,1.46,1.39,1.4167,4010934.5
2024-11-30 13:59:59,1.4168,1.5392,1.4142,1.4936,8630745.2
2024-11-30 14:59:59,1.4935,1.5338,1.4516,1.4691,10147331.2
2024-11-30 15:59:59,1.469,1.4902,1.4185,1.467,8021636.7
2024-11-30 16:59:59,1.4674,1.5955,1.415,1.5196,16410434.8
2024-11-30 17:59:59,1.52,1.5547,1.4972,1.5207,8663683.8
2024-11-30 18:59:59,1.5203,1.554,1.4716,1.493,8162152.3
2024-11-30 19:59:59,1.4926,1.508,1.475,1.4916,3539518.8
2024-11-30 20:59:59,1.4917,1.54,1.4854,1.537,2842867.8
2024-11-30 21:59:59,1.5371,1.5449,1.5059,1.5224,1998432.8
2024-11-30 22:59:59,1.5227,1.5473,1.5027,1.516,1766679.2
2024-11-30 23:59:59,1.5161,1.5895,1.5007,1.505,3897673.4
2024-12-01 00:59:59,1.5055,1.5547,1.4437,1.4826,5890446.3
2024-12-01 01:59:59,1.4825,1.4898,1.4235,1.4577,2642700.8
2024-12-01 02:59:59,1.4578,1.4629,1.3878,1.3972,3740635.4
2024-12-01 03:59:59,1.3969,1.4253,1.3944,1.4107,1784920.5
2024-12-01 04:59:59,1.4104,1.4169,1.39,1.4098,1263584.5
2024-12-01 05:59:59,1.4099,1.41,1.3856,1.3889,1566249.8
2024-12-01 06:59:59,1.3888,1.4142,1.3888,1.4048,1175989.5
2024-12-01 07:59:59,1.4045,1.4094,1.3908,1.3998,1328763.7
2024-12-01 08:59:59,1.3998,1.4311,1.3951,1.4198,2089129.6
2024-12-01 09:59:59,1.4197,1.4221,1.3824,1.4011,1845228.4
2024-12-01 10:59:59,1.4015,1.4037,1.3594,1.3634,2008950.7
2024-12-01 11:59:59,1.3636,1.378,1.3605,1.3705,1007948.7
2024-12-01 12:59:59,1.3705,1.3747,1.3601,1.3633,1293746.2
2024-12-01 13:59:59,1.3631,1.4001,1.3627,1.3926,2259163.8
2024-12-01 14:59:59,1.3926,1.4114,1.3786,1.3971,1785903.1
2024-12-01 15:59:59,1.3972,1.4105,1.3821,1.4048,1815467.0
2024-12-01 16:59:59,1.4048,1.4053,1.3679,1.3846,1923453.2
2024-12-01 17:59:59,1.3844,1.3999,1.3693,1.3837,2438681.7
2024-12-01 18:59:59,1.3838,1.3982,1.3795,1.3844,1040356.1
2024-12-01 19:59:59,1.3844,1.3965,1.3708,1.3908,1131766.6
2024-12-01 20:59:59,1.3908,1.3912,1.3529,1.3792,2398205.5
2024-12-01 21:59:59,1.3792,1.3911,1.3759,1.3774,801094.8
2024-12-01 22:59:59,1.3775,1.4,1.365,1.3938,1099656.7
2024-12-01 23:59:59,1.3937,1.397,1.3765,1.3873,943306.4
2024-12-02 00:59:59,1.3873,1.3925,1.3422,1.36,2324548.5
2024-12-02 01:59:59,1.3598,1.3655,1.341,1.3634,1289018.4
2024-12-02 02:59:59,1.3632,1.3655,1.296,1.3335,3778061.1
2024-12-02 03:59:59,1.3335,1.3423,1.2531,1.2737,3552755.1
2024-12-02 04:59:59,1.274,1.2898,1.2538,1.2872,2294880.5
2024-12-02 05:59:59,1.2872,1.3039,1.2791,1.2985,1271028.1
2024-12-02 06:59:59,1.2989,1.3017,1.2816,1.2908,910487.3
2024-12-02 07:59:59,1.2907,1.2994,1.2806,1.2965,1191823.3
2024-12-02 08:59:59,1.2968,1.2996,1.211,1.2398,3043988.7
2024-12-02 09:59:59,1.2391,1.2867,1.2322,1.2745,1253483.1
2024-12-02 10:59:59,1.2752,1.2793,1.2485,1.2533,1025036.9
2024-12-02 11:59:59,1.2527,1.2939,1.2394,1.2891,1209402.5
2024-12-02 12:59:59,1.289,1.2972,1.2727,1.2809,978948.5
2024-12-02 13:59:59,1.281,1.3062,1.2743,1.2979,907235.6
2024-12-02 14:59:59,1.298,1.3556,1.2925,1.3303,3876793.7
2024-12-02 15:59:59,1.3303,1.4319,1.3052,1.4196,4099389.3
2024-12-02 16:59:59,1.4204,1.4303,1.2829,1.3096,3919143.4
2024-12-02 17:59:59,1.31,1.3165,1.2752,1.2845,1395133.8
2024-12-02 18:59:59,1.2845,1.3356,1.2822,1.327,1050115.2
2024-12-02 19:59:59,1.327,1.3433,1.3232,1.3236,684034.5
2024-12-02 20:59:59,1.3236,1.3468,1.3158,1.324,653105.0
2024-12-02 21:59:59,1.3233,1.3407,1.3188,1.3332,694808.9
2024-12-02 22:59:59,1.3332,1.345,1.306,1.3307,1314783.5
2024-12-02 23:59:59,1.3305,1.3775,1.3288,1.3718,935389.1
2024-12-03 00:59:59,1.3718,1.3759,1.3482,1.3562,1127909.1
2024-12-03 01:59:59,1.3563,1.387,1.3441,1.3683,1293793.4
2024-12-03 02:59:59,1.3682,1.4251,1.3456,1.4155,2698150.1
2024-12-03 03:59:59,1.4152,1.445,1.3854,1.3875,1528707.2
2024-12-03 04:59:59,1.3877,1.4112,1.387,1.4016,1043331.0
2024-12-03 05:59:59,1.4013,1.45,1.3966,1.4203,1591062.7
2024-12-03 06:59:59,1.4203,1.4403,1.369,1.3814,1855484.4
2024-12-03 07:59:59,1.3824,1.39,1.3506,1.3728,2098907.7
2024-12-03 08:59:59,1.3729,1.3893,1.3556,1.3685,918525.8
2024-12-03 09:59:59,1.3685,1.5856,1.3448,1.4727,7571323.1
2024-12-03 10:59:59,1.4722,1.5202,1.4015,1.4252,4561324.4
2024-12-03 11:59:59,1.4259,1.4609,1.413,1.4541,2567525.0
2024-12-03 12:59:59,1.4547,1.4812,1.4238,1.4299,1927541.6
2024-12-03 13:59:59,1.4291,1.4435,1.3401,1.3617,3277635.9
2024-12-03 14:59:59,1.3614,1.4192,1.3063,1.3866,4809162.9
2024-12-03 15:59:59,1.3861,1.421,1.3718,1.4119,1680932.9
2024-12-03 16:59:59,1.4127,1.6371,1.4127,1.4816,18237951.4
2024-12-03 17:59:59,1.4808,1.524,1.4432,1.495,2779090.8
2024-12-03 18:59:59,1.4954,1.55,1.491,1.5417,3222047.1
