datetime,open,high,low,close,volume
2024-07-16 00:59:59,8.586,8.62,8.52,8.579,532764.0
2024-07-16 01:59:59,8.579,8.652,8.517,8.631,517319.0
2024-07-16 02:59:59,8.629,8.643,8.561,8.584,277680.0
2024-07-16 03:59:59,8.583,8.598,8.549,8.585,233042.0
2024-07-16 04:59:59,8.586,8.587,8.48,8.495,347022.0
2024-07-16 05:59:59,8.495,8.504,8.164,8.237,1664339.0
2024-07-16 06:59:59,8.237,8.308,8.034,8.087,1526075.0
2024-07-16 07:59:59,8.087,8.135,7.977,8.032,1541916.0
2024-07-16 08:59:59,8.032,8.062,7.86,7.963,1698221.0
2024-07-16 09:59:59,7.963,8.053,7.905,8.037,871424.0
2024-07-16 10:59:59,8.036,8.127,8.003,8.075,878262.0
2024-07-16 11:59:59,8.076,8.097,8.02,8.076,603998.0
2024-07-16 12:59:59,8.076,8.167,8.021,8.028,848327.0
2024-07-16 13:59:59,8.028,8.086,8.005,8.008,762037.0
2024-07-16 14:59:59,8.008,8.121,7.959,8.106,884850.0
2024-07-16 15:59:59,8.106,8.356,8.096,8.334,1283153.0
2024-07-16 16:59:59,8.334,8.381,8.095,8.268,1912853.0
2024-07-16 17:59:59,8.268,8.282,8.2,8.248,535019.0
2024-07-16 18:59:59,8.249,8.259,8.127,8.19,506942.0
2024-07-16 19:59:59,8.191,8.246,8.126,8.214,446916.0
2024-07-16 20:59:59,8.213,8.24,8.15,8.157,496105.0
2024-07-16 21:59:59,8.159,8.206,8.113,8.14,313780.0
2024-07-16 22:59:59,8.14,8.159,8.069,8.125,551381.0
2024-07-16 23:59:59,8.125,8.192,8.103,8.165,336362.0
2024-07-17 00:59:59,8.165,8.265,8.152,8.255,610386.0
2024-07-17 01:59:59,8.256,8.414,8.255,8.273,1211087.0
2024-07-17 02:59:59,8.273,8.317,8.215,8.25,462927.0
2024-07-17 03:59:59,8.251,8.271,8.174,8.232,531860.0
2024-07-17 04:59:59,8.233,8.315,8.193,8.315,441567.0
2024-07-17 05:59:59,8.315,8.335,8.263,8.268,483408.0
2024-07-17 06:59:59,8.268,8.31,8.217,8.304,421403.0
2024-07-17 07:59:59,8.304,8.339,8.264,8.277,401038.0
2024-07-17 08:59:59,8.278,8.297,8.12,8.217,769955.0
