datetime,open,high,low,close,volume
2024-07-16 00:59:59,158.47,159.92,158.33,159.79,6172.044
2024-07-16 01:59:59,159.79,160.34,159.24,159.56,3721.685
2024-07-16 02:59:59,159.56,161.2,159.12,160.99,2967.675
2024-07-16 03:59:59,160.95,161.31,160.22,160.37,2447.234
2024-07-16 04:59:59,160.4,161.12,160.03,160.32,3205.959
2024-07-16 05:59:59,160.32,160.86,159.5,160.08,3133.512
2024-07-16 06:59:59,160.08,160.16,156.46,157.08,6202.284
2024-07-16 07:59:59,157.03,158.43,156.94,157.74,4854.734
2024-07-16 08:59:59,157.79,159.21,157.27,159.08,5131.995
2024-07-16 09:59:59,159.08,159.9,158.71,159.84,2613.868
2024-07-16 10:59:59,159.86,159.96,158.64,158.85,1870.748
2024-07-16 11:59:59,158.88,159.85,158.15,159.79,4129.607
2024-07-16 12:59:59,159.84,161.09,159.46,160.96,4226.373
2024-07-16 13:59:59,160.94,160.97,158.49,158.9,3633.925
2024-07-16 14:59:59,158.85,161.3,158.84,161.18,4896.198
2024-07-16 15:59:59,161.18,161.5,160.34,161.12,6008.06
2024-07-16 16:59:59,161.09,161.33,159.7,161.03,5114.241
2024-07-16 17:59:59,161.07,161.73,160.14,161.61,3749.429
2024-07-16 18:59:59,161.6,162.47,160.98,161.67,4436.489
2024-07-16 19:59:59,161.7,162.35,161.38,162.09,4832.963
2024-07-16 20:59:59,162.09,163.62,162.04,163.45,3587.52
2024-07-16 21:59:59,163.45,163.63,162.52,162.54,3160.708
2024-07-16 22:59:59,162.59,162.89,161.58,161.7,2597.514
2024-07-16 23:59:59,161.69,162.02,161.5,161.81,1367.652
2024-07-17 00:59:59,161.8,163.12,161.77,162.83,2270.288
2024-07-17 01:59:59,162.87,163.18,161.94,162.04,2225.027
2024-07-17 02:59:59,162.0,162.25,161.13,162.07,1447.312
2024-07-17 03:59:59,162.08,163.61,161.84,163.5,1811.251
2024-07-17 04:59:59,163.49,164.25,162.62,163.12,2798.788
