datetime,open,high,low,close,volume
2024-07-16 00:59:59,0.5369,0.5558,0.5345,0.5515,169716623.6
2024-07-16 01:59:59,0.5515,0.5561,0.5438,0.5533,156832137.8
2024-07-16 02:59:59,0.5533,0.5607,0.5523,0.557,98353911.5
2024-07-16 03:59:59,0.5569,0.571,0.5545,0.5652,125355316.0
2024-07-16 04:59:59,0.5653,0.5657,0.554,0.5554,92908229.1
2024-07-16 05:59:59,0.5554,0.5555,0.5406,0.543,134701624.8
2024-07-16 06:59:59,0.543,0.5474,0.5352,0.538,109270467.4
2024-07-16 07:59:59,0.5381,0.543,0.5364,0.54,92627664.5
2024-07-16 08:59:59,0.54,0.542,0.532,0.5403,102193494.6
2024-07-16 09:59:59,0.5402,0.5465,0.539,0.5433,79367627.0
2024-07-16 10:59:59,0.5433,0.5473,0.5424,0.5448,56239730.7
2024-07-16 11:59:59,0.5447,0.5471,0.5421,0.5461,40496835.5
2024-07-16 12:59:59,0.5462,0.5492,0.5423,0.5439,55640429.1
2024-07-16 13:59:59,0.544,0.5652,0.543,0.5576,166319104.8
2024-07-16 14:59:59,0.5575,0.5811,0.5557,0.5785,422725887.9
2024-07-16 15:59:59,0.5785,0.5882,0.5759,0.5844,263101615.9
2024-07-16 16:59:59,0.5845,0.5946,0.5772,0.592,232332416.7
2024-07-16 17:59:59,0.5921,0.5927,0.5834,0.585,96771385.0
2024-07-16 18:59:59,0.585,0.5871,0.5751,0.5762,89717492.7
2024-07-16 19:59:59,0.5762,0.584,0.5758,0.5831,52021165.2
2024-07-16 20:59:59,0.583,0.5849,0.5766,0.5824,42057368.2
2024-07-16 21:59:59,0.5825,0.5838,0.5782,0.5798,26995108.2
2024-07-16 22:59:59,0.5798,0.5816,0.5733,0.5764,57472019.2
2024-07-16 23:59:59,0.5764,0.5806,0.5734,0.5791,40930915.8
2024-07-17 00:59:59,0.579,0.5844,0.578,0.5812,68184136.5
2024-07-17 01:59:59,0.5812,0.5884,0.5792,0.5815,78031766.8
2024-07-17 02:59:59,0.5816,0.5872,0.5803,0.5868,39139194.5
2024-07-17 03:59:59,0.5867,0.5868,0.5812,0.5854,47142349.0
2024-07-17 04:59:59,0.5854,0.6106,0.585,0.6076,192083856.5
2024-07-17 05:59:59,0.6076,0.6084,0.598,0.6037,123531094.4
2024-07-17 06:59:59,0.6036,0.6115,0.6008,0.6107,80999617.1
2024-07-17 07:59:59,0.6107,0.6176,0.6,0.6088,182348420.8
2024-07-17 08:59:59,0.6088,0.6192,0.6026,0.6139,134155385.3
2024-07-17 09:59:59,0.6139,0.6162,0.6088,0.611,92611986.9
2024-07-17 10:59:59,0.611,0.6183,0.6101,0.6128,87164232.8
2024-07-17 11:59:59,0.6127,0.6229,0.6103,0.6136,145130044.2
2024-07-17 12:59:59,0.6135,0.6279,0.6091,0.6248,117079145.6
2024-07-17 13:59:59,0.6247,0.6343,0.612,0.6154,264277717.2
2024-07-17 14:59:59,0.6153,0.6166,0.6035,0.6067,166868635.6
2024-07-17 15:59:59,0.6066,0.6135,0.6009,0.6022,100546816.3
2024-07-17 16:59:59,0.6023,0.6123,0.5953,0.6116,173027400.8
2024-07-17 17:59:59,0.6116,0.6133,0.608,0.6112,43968635.5
2024-07-17 18:59:59,0.6112,0.6183,0.6109,0.6174,47651833.0
2024-07-17 19:59:59,0.6174,0.6234,0.6127,0.6136,79687629.8
2024-07-17 20:59:59,0.6136,0.6299,0.6136,0.6275,75412785.3
2024-07-17 21:59:59,0.6274,0.6312,0.6177,0.6302,98427567.0
2024-07-17 22:59:59,0.6303,0.6376,0.6239,0.633,154628932.4
2024-07-17 23:59:59,0.633,0.6341,0.6235,0.6257,80856317.5
2024-07-18 00:59:59,0.6256,0.6366,0.6254,0.6274,104568216.9
2024-07-18 01:59:59,0.6275,0.628,0.6117,0.6133,149689099.7
2024-07-18 02:59:59,0.6133,0.6173,0.6006,0.6027,144350490.1
2024-07-18 03:59:59,0.6028,0.6104,0.6011,0.6069,83624049.9
2024-07-18 04:59:59,0.6069,0.6126,0.6057,0.6093,65318539.9
2024-07-18 05:59:59,0.6094,0.6113,0.5804,0.5842,307413042.0
2024-07-18 06:59:59,0.5842,0.5908,0.5774,0.5893,134924102.3
2024-07-18 07:59:59,0.5892,0.5902,0.5774,0.5797,135449153.3
2024-07-18 08:59:59,0.5798,0.5824,0.5666,0.5782,211370473.9
2024-07-18 09:59:59,0.5781,0.5798,0.5723,0.5734,75583797.0
